# 'Elapsed time',' I',' II',' RESP',' SCG'
# 'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:00.000',0.16297957,0.18371695,0.52520144,-0.18313714
'0:00.000',0.16268303,0.18371695,0.52520144,-0.18313714
'0:00.000',0.16268303,0.18402153,0.52520144,-0.18313714
'0:00.001',0.16268303,0.18432611,0.52520144,-0.18313714
'0:00.001',0.16268303,0.18463069,0.52520144,-0.18313714
'0:00.001',0.16297957,0.18463069,0.52520144,-0.18313714
'0:00.001',0.16297957,0.18493527,0.52490840,-0.18313714
'0:00.001',0.16297957,0.18525369,0.52490840,-0.18313714
'0:00.002',0.16327611,0.18555827,0.52490840,-0.18313714
'0:00.002',0.16357265,0.18555827,0.52490840,-0.18313714
'0:00.002',0.16389885,0.18586285,0.52490840,-0.18313714
'0:00.002',0.16419539,0.18616743,0.52490840,-0.18313714
'0:00.002',0.16449193,0.18647201,0.52490840,-0.18313714
'0:00.003',0.16481813,0.18647201,0.52490840,-0.18313714
'0:00.003',0.16511467,0.18677659,0.52490840,-0.15268196
'0:00.003',0.16570776,0.18708117,0.52490840,-0.15268196
'0:00.003',0.16633050,0.18738575,0.52459094,-0.12222678
'0:00.003',0.16662704,0.18738575,0.52459094,-0.12222678
'0:00.004',0.16724978,0.18769033,0.52459094,-0.12222678
'0:00.004',0.16816906,0.18799491,0.52459094,-0.12222678
'0:00.004',0.16876214,0.18799491,0.52459094,-0.09136553
'0:00.004',0.16938488,0.18829949,0.52459094,-0.09136553
'0:00.004',0.17030416,0.18860407,0.52459094,-0.09136553
'0:00.005',0.17089725,0.18890865,0.52459094,-0.06091036
'0:00.005',0.17181653,0.18890865,0.52459094,-0.06091036
'0:00.005',0.17273581,0.18921323,0.52429790,-0.06091036
'0:00.005',0.17365509,0.18951781,0.52429790,-0.03045518
'0:00.005',0.17457437,0.18951781,0.52429790,-0.03045518
'0:00.006',0.17549365,0.18982239,0.52429790,0.00000000
'0:00.006',0.17670947,0.19012697,0.52429790,0.00000000
'0:00.006',0.17762875,0.19012697,0.52429790,0.00000000
'0:00.006',0.17854803,0.19043155,0.52429790,0.03045518
'0:00.006',0.17976386,0.19073613,0.52429790,0.03045518
'0:00.007',0.18068314,0.19073613,0.52429790,0.03045518
'0:00.007',0.18189896,0.19104070,0.52398044,0.06091036
'0:00.007',0.18311478,0.19134528,0.52398044,0.06091036
'0:00.007',0.18433061,0.19164986,0.52398044,0.09136553
'0:00.007',0.18524989,0.19164986,0.52398044,0.12222678
'0:00.008',0.18646571,0.19195444,0.52398044,0.12222678
'0:00.008',0.18768153,0.19227287,0.52398044,0.15268196
'0:00.008',0.18892701,0.19227287,0.52398044,0.15268196
'0:00.008',0.19014283,0.19257745,0.52398044,0.15268196
'0:00.008',0.19135865,0.19288203,0.52398044,0.15268196
'0:00.009',0.19287102,0.19288203,0.52368740,0.15268196
'0:00.009',0.19411650,0.19318661,0.52368740,0.15268196
'0:00.009',0.19533232,0.19349119,0.52368740,0.15268196
'0:00.009',0.19684468,0.19379577,0.52368740,0.15268196
'0:00.009',0.19806051,0.19379577,0.52368740,0.15268196
'0:00.010',0.19930598,0.19410035,0.52368740,0.15268196
'0:00.010',0.20081835,0.19440493,0.52368740,0.12222678
'0:00.010',0.20203417,0.19470951,0.52368740,0.12222678
'0:00.010',0.20357619,0.19501409,0.52368740,0.09136553
'0:00.010',0.20479201,0.19531867,0.52336994,0.09136553
'0:00.011',0.20630438,0.19531867,0.52336994,0.06091036
'0:00.011',0.20752020,0.19562325,0.52336994,0.06091036
'0:00.011',0.20906222,0.19592782,0.52336994,0.06091036
'0:00.011',0.21027804,0.19623240,0.52336994,0.03045518
'0:00.011',0.21149387,0.19653698,0.52336994,0.03045518
'0:00.012',0.21303589,0.19653698,0.52336994,0.00000000
'0:00.012',0.21425171,0.19684156,0.52336994,0.00000000
'0:00.012',0.21546753,0.19714614,0.52336994,0.00000000
'0:00.012',0.21668335,0.19745072,0.52307690,0.00000000
'0:00.012',0.21789918,0.19745072,0.52307690,0.00000000
'0:00.013',0.21911500,0.19775530,0.52307690,0.00000000
'0:00.013',0.22036048,0.19805988,0.52307690,0.00000000
'0:00.013',0.22157630,0.19836446,0.52307690,0.00000000
'0:00.013',0.22279212,0.19836446,0.52307690,0.03045518
