Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR2016","BatteryHolder_CR2016_MPD_BLP2016SM-G",224.729000,-130.114000,270.000000,top
"C1","33uF","CP_Elec_6.3x7.7",332.400000,-38.100000,270.000000,top
"C2","10uF","C_1210_3225Metric",142.900000,-109.550000,180.000000,top
"C3","10uF","C_1210_3225Metric",142.900000,-106.300000,180.000000,top
"C4","100nF","C_0603_1608Metric",143.400000,-103.800000,0.000000,top
"C5","10nF","C_0603_1608Metric",147.400000,-104.050000,0.000000,top
"C6","4.7nF","C_0603_1608Metric",149.400000,-95.300000,90.000000,top
"C7","18pF","C_0603_1608Metric",147.150000,-94.300000,0.000000,top
"C8","100nF","C_0603_1608Metric",142.150000,-100.050000,270.000000,top
"C9","100nF","C_0603_1608Metric",128.900000,-102.050000,180.000000,top
"C10","1uF","C_0603_1608Metric",128.900000,-103.550000,180.000000,top
"C11","47uF","C_1210_3225Metric",129.650000,-106.050000,180.000000,top
"C12","1uF","C_0603_1608Metric",297.000000,-82.750000,270.000000,top
"C13","1uF","C_0603_1608Metric",294.750000,-87.500000,0.000000,top
"C14","10uF","C_1210_3225Metric",119.900000,-63.950000,0.000000,top
"C15","10uF","C_1210_3225Metric",119.900000,-67.200000,0.000000,top
"C16","100nF","C_0603_1608Metric",119.400000,-69.700000,180.000000,top
"C17","10nF","C_0603_1608Metric",115.400000,-69.450000,180.000000,top
"C18","4.7nF","C_0603_1608Metric",113.400000,-78.200000,270.000000,top
"C19","18pF","C_0603_1608Metric",115.650000,-79.200000,180.000000,top
"C20","100nF","C_0603_1608Metric",120.650000,-73.450000,90.000000,top
"C21","100nF","C_0603_1608Metric",133.900000,-71.450000,0.000000,top
"C22","1uF","C_0603_1608Metric",133.900000,-69.950000,0.000000,top
"C23","47uF","C_1210_3225Metric",133.150000,-67.450000,0.000000,top
"C24","1uF","C_0603_1608Metric",298.000000,-76.000000,90.000000,top
"C25","1uF","C_0603_1608Metric",300.250000,-71.250000,180.000000,top
"C26","100nF","C_0603_1608Metric",175.834000,-72.329000,270.000000,top
"C27","TBD","C_0603_1608Metric",186.375000,-44.897000,270.000000,top
"C28","TBD","C_0603_1608Metric",186.375000,-47.945000,90.000000,top
"C29","18pF","C_0603_1608Metric",218.887000,-59.248000,90.000000,top
"C30","18pF","C_0603_1608Metric",217.490000,-46.675000,270.000000,top
"C31","1uF","C_0603_1608Metric",343.200000,-47.800000,180.000000,top
"C32","100nF","C_0603_1608Metric",343.212500,-46.000000,180.000000,top
"C33","6.8pF","C_0603_1608Metric",193.487000,-68.011000,270.000000,top
"C34","6.8pF","C_0603_1608Metric",201.361000,-68.773000,270.000000,top
"C35","1uF","C_0603_1608Metric",187.264000,-64.963000,180.000000,top
"C36","100nF","C_0603_1608Metric",207.965000,-62.550000,270.000000,top
"C37","100nF","C_0603_1608Metric",203.647000,-69.535000,0.000000,top
"C38","100nF","C_0603_1608Metric",199.456000,-63.058000,270.000000,top
"C39","100nF","C_0603_1608Metric",211.300000,-57.200000,180.000000,top
"C40","100nF","C_0603_1608Metric",209.500000,-45.200000,270.000000,top
"C41","100nF","C_0603_1608Metric",192.471000,-42.611000,270.000000,top
"C42","10uF","C_1210_3225Metric",189.300000,-59.100000,90.000000,top
"C43","100nF","C_0603_1608Metric",205.552000,-63.500000,180.000000,top
"C44","1uF","C_0603_1608Metric",205.552000,-62.000000,180.000000,top
"C45","100nF","C_0603_1608Metric",266.000000,-145.100000,90.000000,top
"C46","1uF","C_0603_1608Metric",264.480000,-145.100000,90.000000,top
"C47","100nF","C_0603_1608Metric",164.500000,-126.250000,270.000000,top
"C48","33uF","CP_Elec_6.3x7.7",160.300000,-149.750000,180.000000,top
"C49","1uF","C_0603_1608Metric",174.750000,-130.000000,90.000000,top
"C50","100nF","C_0603_1608Metric",170.250000,-124.750000,0.000000,top
"C51","10nF","C_0603_1608Metric",171.750000,-131.750000,0.000000,top
"C52","10nF","C_0603_1608Metric",173.250000,-121.250000,90.000000,top
"C53","100nF","C_0603_1608Metric",168.750000,-116.000000,0.000000,top
"C54","10nF","C_0603_1608Metric",170.250000,-123.000000,0.000000,top
"C55","10nF","C_0603_1608Metric",189.750000,-133.000000,180.000000,top
"C56","100nF","C_0603_1608Metric",285.750000,-7.500000,180.000000,top
"C57","100nF","C_0603_1608Metric",283.750000,-9.750000,270.000000,top
"C58","100nF","C_0603_1608Metric",288.500000,-69.000000,90.000000,top
"C59","1uF","C_0603_1608Metric",288.250000,-63.500000,90.000000,top
"C60","10uF","C_1210_3225Metric",329.000000,-54.750000,0.000000,top
"C61","10uF","C_1210_3225Metric",279.000000,-54.750000,0.000000,top
"C62","10uF","C_1210_3225Metric",316.500000,-54.750000,0.000000,top
"C63","10uF","C_1210_3225Metric",304.000000,-54.750000,0.000000,top
"C64","10uF","C_1210_3225Metric",291.500000,-54.750000,0.000000,top
"C65","10uF","C_1210_3225Metric",90.250000,-57.000000,270.000000,top
"C66","68uF","CP_Elec_8x10",99.000000,-51.250000,90.000000,top
"C67","100nF","C_0603_1608Metric",22.000000,-99.500000,0.000000,top
"C68","100nF","C_0603_1608Metric",13.000000,-87.000000,270.000000,top
"C69","10uF","C_1210_3225Metric",16.250000,-91.750000,90.000000,top
"C70","220nF","C_0805_2012Metric",26.250000,-99.000000,180.000000,top
"C71","33uF","CP_Elec_6.3x7.7",132.800000,-146.600000,270.000000,top
"C72","100nF","C_0603_1608Metric",26.712500,-100.750000,0.000000,top
"C73","220nF","C_0805_2012Metric",46.000000,-98.500000,0.000000,top
"C74","33uF","CP_Elec_6.3x7.7",132.800000,-135.800000,90.000000,top
"C75","220nF","C_0805_2012Metric",26.500000,-106.250000,180.000000,top
"C77","100nF","C_0603_1608Metric",26.750000,-102.250000,180.000000,top
"C78","220nF","C_0805_2012Metric",46.000000,-106.000000,0.000000,top
"C79","100nF","C_0603_1608Metric",45.750000,-104.250000,180.000000,top
"C81","68uF","CP_Elec_8x10",36.500000,-87.500000,90.000000,top
"C82","68uF","CP_Elec_8x10",27.000000,-87.500000,90.000000,top
"C83","10nF","C_0603_1608Metric",26.750000,-104.000000,180.000000,top
"C84","220nF","C_0805_2012Metric",22.500000,-107.000000,0.000000,top
"C85","100nF","C_0603_1608Metric",242.300000,-49.900000,0.000000,top
"C86","100nF","C_0603_1608Metric",137.000000,-114.250000,270.000000,top
"C87","100nF","C_0603_1608Metric",136.500000,-117.500000,270.000000,top
"C88","DNP","C_0603_1608Metric",133.250000,-121.500000,0.000000,top
"C89","100nF","C_0603_1608Metric",257.800000,-53.200000,180.000000,top
"C90","100nF","C_0603_1608Metric",269.306000,-113.096000,270.000000,top
"C91","100nF","C_0603_1608Metric",271.693500,-109.286000,0.000000,top
"C92","100nF","C_0603_1608Metric",276.400000,-110.200000,0.000000,top
"C93","1uF","C_0603_1608Metric",276.400000,-111.800000,0.000000,top
"C94","33uF","CP_Elec_6.3x7.7",101.000000,-124.800000,270.000000,top
"C95","10nF","C_0603_1608Metric",118.000000,-92.300000,0.000000,top
"C96","10nF","C_0603_1608Metric",114.612500,-92.300000,180.000000,top
"C97","10uF","C_1210_3225Metric",36.200000,-127.200000,270.000000,top
"C98","1nF","C_0603_1608Metric",79.900000,-113.900000,0.000000,top
"C99","47nF","C_0603_1608Metric",88.700000,-112.800000,90.000000,top
"C100","100nF","C_0603_1608Metric",103.400000,-92.000000,0.000000,top
"C101","100nF","C_0603_1608Metric",100.900000,-99.300000,90.000000,top
"C102","100nF","C_0603_1608Metric",103.400000,-90.200000,0.000000,top
"C103","10nF","C_0603_1608Metric",114.600000,-94.900000,0.000000,top
"C104","10uF","C_1210_3225Metric",91.500000,-81.600000,90.000000,top
"C105","1uF","C_0603_1608Metric",107.600000,-98.500000,180.000000,top
"C106","10nF","C_0603_1608Metric",112.600000,-110.100000,270.000000,top
"C107","10uF","C_1210_3225Metric",95.100000,-81.600000,90.000000,top
"C108","100pF","C_0603_1608Metric",68.100000,-96.400000,0.000000,top
"C109","47nF","C_0603_1608Metric",110.200000,-97.700000,90.000000,top
"C110","1uF","C_0603_1608Metric",112.000000,-97.700000,90.000000,top
"C111","100nF","C_0603_1608Metric",118.600000,-100.700000,0.000000,top
"C112","100nF","C_0603_1608Metric",118.600000,-102.500000,180.000000,top
"C113","100nF","C_0603_1608Metric",116.000000,-101.700000,270.000000,top
"C114","100pF","C_0603_1608Metric",108.600000,-110.700000,270.000000,top
"C115","100pF","C_0603_1608Metric",106.800000,-110.700000,270.000000,top
"C116","10uF","C_1210_3225Metric",68.700000,-68.600000,90.000000,top
"C117","10nF","C_0603_1608Metric",66.100000,-68.600000,90.000000,top
"C118","10uF","C_1210_3225Metric",71.900000,-68.600000,90.000000,top
"C119","10uF","C_1210_3225Metric",75.100000,-68.600000,90.000000,top
"C120","100pF","C_0603_1608Metric",103.400000,-111.100000,180.000000,top
"C121","10uF","C_1210_3225Metric",78.300000,-68.600000,90.000000,top
"C122","10uF","C_1210_3225Metric",81.500000,-68.600000,90.000000,top
"C123","10uF","C_1210_3225Metric",84.700000,-68.600000,90.000000,top
"C124","10uF","C_1210_3225Metric",87.900000,-68.600000,90.000000,top
"C125","10uF","C_1210_3225Metric",91.100000,-68.600000,90.000000,top
"C126","33uF","CP_Elec_6.3x7.7",61.100000,-65.800000,90.000000,top
"C127","33uF","CP_Elec_6.3x7.7",84.500000,-78.200000,270.000000,top
"C128","10nF","C_0603_1608Metric",19.900000,-125.700000,0.000000,top
"C129","470nF","C_0805_2012Metric",8.200000,-128.700000,180.000000,top
"C130","470nF","C_0805_2012Metric",8.200000,-131.300000,180.000000,top
"C131","470nF","C_0805_2012Metric",10.400000,-126.200000,180.000000,top
"C132","100nF","C_0603_1608Metric",55.800000,-152.600000,90.000000,top
"C133","470nF","C_0805_2012Metric",19.800000,-134.400000,0.000000,top
"C134","10nF","C_0603_1608Metric",12.800000,-136.900000,180.000000,top
"C135","10nF","C_0603_1608Metric",6.600000,-136.900000,180.000000,top
"C136","10nF","C_0603_1608Metric",15.800000,-136.900000,180.000000,top
"C137","10nF","C_0603_1608Metric",9.800000,-136.900000,180.000000,top
"C138","100nF","C_0603_1608Metric",19.800000,-138.100000,180.000000,top
"C139","2.7nF","C_0603_1608Metric",114.300000,-131.100000,270.000000,top
"C140","100pF","C_0603_1608Metric",112.500000,-131.100000,270.000000,top
"C141","10uF","C_1210_3225Metric",99.600000,-132.400000,90.000000,top
"C142","100nF","C_0603_1608Metric",118.900000,-131.100000,90.000000,top
"C143","10uF","C_1210_3225Metric",103.300000,-132.400000,90.000000,top
"C144","220nF","C_0805_2012Metric",122.700000,-131.300000,270.000000,top
"C145","220nF","C_0805_2012Metric",125.900000,-119.300000,180.000000,top
"C146","100nF","C_0603_1608Metric",113.500000,-119.100000,0.000000,top
"C147","100pF","C_0603_1608Metric",110.100000,-126.512500,90.000000,top
"C148","100nF","C_0603_1608Metric",125.700000,-123.100000,0.000000,top
"C149","10uF","C_1210_3225Metric",123.200000,-139.400000,90.000000,top
"C150","10uF","C_1210_3225Metric",123.200000,-149.000000,270.000000,top
"C151","1uF","C_0603_1608Metric",116.900000,-119.100000,180.000000,top
"C152","10uF","C_1210_3225Metric",127.000000,-149.000000,270.000000,top
"C153","10uF","C_1210_3225Metric",127.000000,-139.400000,90.000000,top
"C154","1uF","C_0603_1608Metric",116.900000,-117.300000,180.000000,top
"C155","10uF","C_1210_3225Metric",142.750000,-56.750000,270.000000,top
"C156","68uF","CP_Elec_8x10",151.500000,-51.000000,90.000000,top
"C157","100nF","C_0603_1608Metric",22.000000,-65.750000,0.000000,top
"C158","100nF","C_0603_1608Metric",13.000000,-53.250000,270.000000,top
"C159","10uF","C_1210_3225Metric",16.250000,-58.000000,90.000000,top
"C160","220nF","C_0805_2012Metric",26.250000,-65.250000,180.000000,top
"C162","100nF","C_0603_1608Metric",26.712500,-67.000000,0.000000,top
"C163","220nF","C_0805_2012Metric",46.000000,-64.750000,0.000000,top
"C165","220nF","C_0805_2012Metric",26.500000,-72.500000,180.000000,top
"C167","100nF","C_0603_1608Metric",26.750000,-68.500000,180.000000,top
"C168","220nF","C_0805_2012Metric",46.000000,-72.250000,0.000000,top
"C169","100nF","C_0603_1608Metric",45.750000,-70.500000,180.000000,top
"C171","68uF","CP_Elec_8x10",36.500000,-53.750000,90.000000,top
"C172","68uF","CP_Elec_8x10",27.000000,-53.750000,90.000000,top
"C173","10nF","C_0603_1608Metric",26.750000,-70.250000,180.000000,top
"C174","220nF","C_0805_2012Metric",22.500000,-73.250000,0.000000,top
"C175","100nF","C_0603_1608Metric",289.245000,-113.096000,270.000000,top
"C176","100nF","C_0603_1608Metric",292.039000,-109.413000,0.000000,top
"C177","100nF","C_0603_1608Metric",296.735000,-110.061000,0.000000,top
"C178","1uF","C_0603_1608Metric",296.735000,-111.585000,0.000000,top
"C179","18pF","C_0603_1608Metric",316.250000,-78.000000,90.000000,top
"C180","18pF","C_0603_1608Metric",316.250000,-81.750000,90.000000,top
"C181","100nF","C_0603_1608Metric",320.500000,-82.000000,90.000000,top
"C182","100nF","C_0603_1608Metric",330.500000,-86.750000,0.000000,top
"C183","100nF","C_0603_1608Metric",334.000000,-77.750000,90.000000,top
"C184","100nF","C_0603_1608Metric",325.250000,-74.750000,180.000000,top
