Component,Quantity Per PCB,References,Value,Type,Footprint,DNP,Manufacturer,Manufacturer PN,Notes,Voltage,Dielectric,Hold Current,Sourcing Notes
1,1,BT1,CR2016,,BatteryHolder_CR2016_MPD_BLP2016SM-G,,MPD,BLP2016SM-GTR,,,,,
2,52,"C4,C8-C9,C16,C20-C21,C26,C32,C36-C41
C43,C45,C47,C50,C53,C56-C58,C68,C72,C77
C79,C85-C87,C89,C92,C100-C102,C111-C113,C132
C138,C142,C146,C148,C158,C162,C167,C169,C177,
C181-C185",100nF,,C_0603_1608Metric,,Kemet,C0603C104K5RACTU,,50V,X7R,,
3,6,"C108,C114-C115,C120,C140,C147",100pF,,C_0603_1608Metric,,Kemet,C0603C101J5GACTU,,50V,NP0,,
4,18,"C5,C17,C51-C52,C54-C55,C83,C95-C96,C103
C106,C117,C128,C134-C137,C173",10nF,,C_0603_1608Metric,,Murata,GRM1885C1H103JA01D,,50V,NP0,,
5,31,"C2-C3,C14-C15,C42,C60-C65,C69,C97,C104
C107,C116,C118-C119,C121-C125,C141,C143,C149-C150
C152-C153,C155,C159",10uF,,C_1210_3225Metric,,Murata,GRM32EC72A106KE05L,,100V,X7S,,
6,4,"C7,C19,C179-C180",18pF,,C_0603_1608Metric,,Kemet,C0603C180J5GACTU,,50V,NP0,,
7,19,"C10,C12-C13,C22,C24-C25,C31,C35,C44,C46
C49,C59,C93,C105,C110,C151,C154,C178,C186",1uF,,C_0603_1608Metric,,Kemet,C0805C105K5RACTU,,50V,X7R,,
8,1,C139,2.7nF,,C_0603_1608Metric,,Kemet,C0603C272J5GACTU,,50V,NP0,,
9,12,"C70,C73,C75,C78,C84,C144-C145,C160,C163,C165
C168,C174",220nF,,C_0805_2012Metric,,Kemet,C0805C224K1RACTU,,100V,X7R,,
10,7,"C1,C48,C71,C74,C94,C126-C127",33uF,,CP_Elec_6.3x7.7,,Panasonic,EEE-FK1H330XP,,50V,Aluminum,,
11,2,"C6,C18",4.7nF,,C_0603_1608Metric,,Kemet,C0603C472J5GACTU,,50V,NP0,,
12,4,"C129-C131,C133",470nF,,C_0805_2012Metric,,Kemet,C0805C474K5RACTU,,50V,X7R,,
13,2,"C99,C109",47nF,,C_0603_1608Metric,,Kemet,C0603C473K5RACTU,,50V,X7R,,
