# Captured 2020-06-18 16:25:11.789034 by jlebar
# Built at revision a4c6d043 (dirty)
#
# Ventilator was run attached to QuickLung at covent preset #1 (but with lung
# compliance = 10 ml/cmH2O, that's just how it was set).
#
# I then disconnected the hose for a few cycles, and then reconnected it.
time(sec)  pressure  net_flow  flow_uncorrected  pc_setpoint
0.000  4.529  2.025  25.339  5.000
0.010  4.531  -0.874  22.440  5.000
0.020  4.593  -17.970  5.345  5.000
0.030  4.524  -25.320  -2.006  5.000
0.040  4.358  -4.963  18.351  5.000
0.050  4.510  26.682  49.996  5.000
0.060  4.454  5.798  29.112  5.000
0.070  4.588  19.102  42.416  5.000
0.080  4.338  -0.413  22.901  5.000
0.090  4.423  25.339  48.653  5.000
0.100  4.411  19.118  42.432  5.000
0.110  4.602  27.434  50.748  5.000
0.120  4.522  -10.318  12.997  5.000
0.130  4.281  9.497  32.811  5.000
0.140  4.527  38.207  61.521  5.000
0.150  4.828  -7.302  16.012  5.000
0.160  4.479  -45.435  -22.121  5.000
0.170  4.574  -14.985  8.330  5.000
0.180  4.439  3.675  26.989  5.000
0.190  4.569  24.251  47.565  5.000
0.200  4.677  -9.001  14.313  5.000
0.210  4.775  -35.653  -12.339  5.000
0.220  4.366  -14.937  8.377  5.000
0.230  4.463  16.071  39.385  5.000
0.240  4.473  70.454  93.768  5.000
0.250  4.581  35.640  58.954  5.000
0.260  4.756  1.853  25.167  5.000
0.270  4.567  -19.686  3.628  5.000
0.280  4.480  1.129  24.443  5.000
0.290  4.626  25.010  48.324  5.000
0.300  4.665  1.449  24.763  5.000
0.310  4.791  -6.644  7.330  6.000
0.320  4.580  85.317  99.291  7.000
0.330  4.988  127.220  141.194  8.000
0.340  6.988  222.804  236.779  9.000
0.350  8.817  381.280  395.254  10.000
0.360  10.317  440.448  454.422  11.000
0.370  12.066  526.714  540.688  12.000
0.380  12.231  435.131  449.105  13.000
0.390  9.867  439.673  453.647  14.000
0.400  12.984  469.931  483.905  15.000
0.410  16.390  515.587  529.561  15.000
0.420  17.121  691.475  705.449  15.000
0.430  15.021  676.851  690.825  15.000
0.440  11.751  562.461  576.435  15.000
0.450  13.295  349.538  363.512  15.000
0.460  17.521  488.120  502.094  15.000
0.470  19.284  822.348  836.323  15.000
0.480  16.403  412.133  426.107  15.000
0.490  13.391  242.765  256.739  15.000
0.500  13.153  206.416  220.390  15.000
0.510  17.308  280.771  294.745  15.000
0.520  19.975  390.411  404.386  15.000
0.530  17.575  318.740  332.714  15.000
