# Captured 2020-06-18 16:24:23.544555 by jlebar
# Built at revision a4c6d043 (dirty)
#
# Ventilator was run attached to QuickLung at covent preset #1 (but with lung
# compliance = 10 ml/cmH2O, that's just how it was set).
#
# I then turned the lung's linear compliance knob from Rp = 20 to Off, blocking
# most of the flow.  I left it there for a few second and turned it back to
# Rp = 20.
time(sec)  pressure  net_flow  flow_uncorrected  pc_setpoint
0.000  16.460  121.262  147.339  15.000
0.010  18.782  317.746  343.823  15.000
0.020  16.765  161.132  187.209  15.000
0.030  14.309  433.913  459.991  15.000
0.040  16.249  201.938  228.015  15.000
0.050  19.058  119.829  145.906  15.000
0.060  16.269  303.953  330.030  15.000
0.070  14.398  289.921  315.998  15.000
0.080  18.463  -48.692  -22.614  15.000
0.090  20.024  96.980  123.057  15.000
0.100  16.005  363.970  390.047  15.000
0.110  15.072  103.950  130.027  15.000
0.120  18.445  74.836  100.914  15.000
0.130  18.897  176.463  202.541  15.000
0.140  15.980  331.052  357.130  15.000
0.150  16.953  82.732  108.810  15.000
0.160  17.769  19.577  45.654  15.000
0.170  16.984  -34.976  -8.898  15.000
0.180  17.374  36.875  62.952  15.000
0.190  17.435  -29.792  -3.715  15.000
0.200  17.183  -31.861  -5.784  15.000
0.210  17.361  -21.087  4.990  15.000
0.220  16.916  8.859  34.937  15.000
0.230  17.426  11.002  37.079  15.000
0.240  17.264  -11.936  14.142  15.000
0.250  17.323  -38.945  -12.868  15.000
0.260  17.250  -37.686  -11.608  15.000
0.270  16.981  -20.990  5.087  15.000
0.280  17.070  -71.636  -45.558  15.000
0.290  16.841  -18.225  7.852  15.000
0.300  17.128  -4.757  21.320  15.000
0.310  17.080  -39.278  -13.201  15.000
0.320  17.085  -55.379  -29.301  15.000
0.330  17.002  -42.241  -16.164  15.000
0.340  16.906  -71.564  -45.486  15.000
0.350  16.898  -61.615  -35.538  15.000
0.360  16.871  -18.874  7.203  15.000
0.370  16.889  -52.476  -26.398  15.000
0.380  16.865  -57.882  -31.805  15.000
0.390  16.757  -4.794  21.283  15.000
0.400  16.792  -4.617  21.460  15.000
0.410  16.809  -37.662  -11.584  15.000
0.420  16.722  -17.413  8.664  15.000
0.430  16.696  -61.774  -35.697  15.000
0.440  16.723  -41.237  -15.160  15.000
0.450  16.657  -38.602  -12.525  15.000
0.460  16.689  -41.685  -15.607  15.000
0.470  16.636  -61.207  -35.130  15.000
0.480  16.730  -22.690  3.387  15.000
0.490  16.636  -60.974  -34.897  15.000
0.500  16.582  -13.856  12.222  15.000
0.510  16.561  -17.766  8.312  15.000
0.520  16.643  -35.119  -9.042  15.000
0.530  16.588  -54.568  -28.491  15.000
0.540  16.583  -13.704  12.374  15.000
0.550  16.592  -50.035  -23.957  15.000
0.560  16.521  -10.402  15.675  15.000
0.570  16.494  -12.917  13.160  15.000
0.580  16.435  8.373  34.450  15.000
0.590  16.413  -11.970  14.107  15.000
0.600  16.519  -26.667  -0.590  15.000
0.610  16.391  -17.392  8.685  15.000
0.620  16.402  -42.360  -16.283  15.000
0.630  16.479  -42.737  -16.660  15.000
0.640  16.438  -17.438  8.640  15.000
0.650  16.319  -5.889  20.188  15.000
0.660  16.350  -37.542  -11.465  15.000
0.670  16.325  -9.829  16.248  15.000
0.680  16.360  -45.759  -19.681  15.000
0.690  16.273  -23.815  2.263  15.000
0.700  16.325  -29.213  -3.136  15.000
0.710  16.271  -21.655  4.422  15.000
0.720  16.311  -41.679  -15.602  15.000
0.730  16.313  -59.849  -33.771  15.000
0.740  16.219  -26.542  -0.465  15.000
0.750  16.248  -15.169  10.909  5.000
0.760  15.917  -11.381  14.696  5.000
0.770  11.784  -235.241  -209.164  5.000
0.780  8.875  -503.746  -477.668  5.000
0.790  6.885  -711.570  -685.493  5.000
0.800  6.237  -632.595  -606.517  5.000
0.810  6.301  -611.029  -584.952  5.000
0.820  6.510  -501.573  -475.496  5.000
0.830  6.301  -554.830  -528.753  5.000
0.840  5.916  -492.896  -466.819  5.000
0.850  5.760  -478.890  -452.812  5.000
0.860  5.372  -481.636  -455.558  5.000
0.870  5.221  -457.513  -431.435  5.000
0.880  4.948  -453.998  -427.920  5.000
0.890  4.926  -402.705  -376.627  5.000
0.900  5.000  -365.128  -339.050  5.000
0.910  4.812  -356.606  -330.529  5.000
0.920  4.561  -312.099  -286.022  5.000
0.930  4.636  -280.054  -253.977  5.000
0.940  4.738  -322.940  -296.862  5.000
0.950  4.509  -309.972  -283.895  5.000
0.960  4.240  -257.945  -231.868  5.000
0.970  4.366  -260.587  -234.509  5.000
0.980  4.260  -234.644  -208.566  5.000
0.990  4.170  -205.559  -179.481  5.000
1.000  4.071  -215.763  -189.686  5.000
1.010  3.991  -217.777  -191.700  5.000
1.020  3.894  -219.576  -193.499  5.000
1.030  3.735  -227.031  -200.954  5.000
1.040  3.890  -170.500  -144.423  5.000
1.050  3.840  -148.983  -122.906  5.000
1.060  3.836  -161.671  -135.594  5.000
1.070  3.928  -157.076  -130.999  5.000
1.080  3.783  -155.127  -129.050  5.000
1.090  3.559  -106.506  -80.429  5.000
1.100  3.668  -94.696  -68.618  5.000
1.110  3.848  -121.820  -95.743  5.000
1.120  3.660  -126.978  -100.901  5.000
1.130  3.578  -85.590  -59.512  5.000
1.140  3.690  -79.432  -53.355  5.000
1.150  3.631  -95.216  -69.139  5.000
1.160  3.796  -96.254  -70.176  5.000
1.170  3.853  -110.617  -84.540  5.000
1.180  3.682  -110.296  -84.219  5.000
1.190  3.536  -54.844  -28.767  5.000
1.200  3.600  -35.499  -9.422  5.000
1.210  3.782  -30.950  -4.873  5.000
1.220  3.781  -64.710  -38.633  5.000
1.230  3.671  -53.701  -27.624  5.000
1.240  3.415  -41.665  -15.587  5.000
1.250  3.631  10.636  36.713  5.000
1.260  3.701  7.399  33.476  5.000
1.270  3.656  -27.034  -0.957  5.000
1.280  3.344  -8.797  17.280  5.000
1.290  3.759  -16.762  9.316  5.000
1.300  3.742  -19.809  6.268  5.000
1.310  3.586  -12.791  13.286  5.000
1.320  3.705  -14.083  11.995  5.000
1.330  4.015  -42.280  -16.203  5.000
1.340  3.922  -85.623  -59.546  5.000
1.350  3.735  -62.005  -35.927  5.000
1.360  3.509  -26.524  -0.447  5.000
1.370  3.579  15.664  41.742  5.000
1.380  3.667  17.753  43.831  5.000
1.390  3.739  8.913  34.990  5.000
1.400  3.760  5.073  31.151  5.000
1.410  3.631  11.945  38.022  5.000
1.420  3.798  24.455  50.532  5.000
1.430  3.750  -10.743  15.334  5.000
1.440  3.989  -13.928  12.150  5.000
1.450  3.857  -31.533  -5.456  5.000
1.460  3.744  -9.512  16.565  5.000
1.470  3.829  -5.248  20.830  5.000
1.480  3.701  7.886  33.964  5.000
1.490  3.919  2.410  28.487  5.000
1.500  3.722  -39.122  -13.045  5.000
1.510  3.792  1.190  27.268  5.000
1.520  3.748  -3.759  22.318  5.000
1.530  3.734  21.114  47.192  5.000
1.540  3.784  2.481  28.558  5.000
1.550  3.958  -14.353  11.724  5.000
1.560  3.590  24.062  50.139  5.000
1.570  3.924  4.425  30.502  5.000
1.580  3.686  9.101  35.178  5.000
1.590  3.862  -29.982  -3.905  5.000
1.600  4.050  -26.434  -0.357  5.000
1.610  3.854  2.909  28.986  5.000
1.620  3.905  -16.555  9.522  5.000
1.630  4.033  0.776  26.854  5.000
1.640  3.778  -3.410  22.667  5.000
1.650  3.781  25.429  51.506  5.000
1.660  3.921  20.526  46.604  5.000
1.670  3.676  -8.814  17.264  5.000
1.680  3.805  33.523  59.600  5.000
1.690  3.972  15.134  41.212  5.000
1.700  3.952  24.832  50.909  5.000
1.710  3.984  -29.618  -3.541  5.000
1.720  3.987  -15.469  10.608  5.000
1.730  4.021  3.785  29.862  5.000
1.740  4.036  -30.742  -4.665  5.000
1.750  4.130  -49.463  -23.386  5.000
1.760  3.994  -8.457  17.620  5.000
1.770  4.071  -22.167  3.910  5.000
1.780  4.004  -44.743  -18.666  5.000
1.790  4.033  -4.892  21.185  5.000
1.800  3.990  -9.647  16.431  5.000
1.810  4.033  -12.130  13.947  5.000
1.820  3.847  -12.876  13.201  5.000
1.830  4.069  -2.548  23.529  5.000
1.840  3.989  -17.741  8.336  5.000
1.850  4.045  -27.638  -1.560  5.000
1.860  3.953  -15.174  10.903  5.000
1.870  3.879  -18.597  7.481  5.000
1.880  4.065  -25.147  0.930  5.000
1.890  4.014  -28.939  -2.862  5.000
1.900  3.959  -10.708  15.369  5.000
1.910  4.101  -13.263  12.814  5.000
1.920  3.992  -22.307  3.771  5.000
1.930  4.038  -42.158  -16.081  5.000
1.940  3.823  -18.725  7.353  5.000
1.950  3.948  -9.940  16.138  5.000
1.960  3.941  3.298  29.376  5.000
