# Captured 2020-06-20 10:24:44.916993 by jkff
# Built at revision 15e86df (dirty - added the breath_id debug variable)
#
# This uses default GUI parameters:
#  Command Pressure mode
#  PIP 15
#  PEEP 5
#  RR 12
#  I-Time 1
#
# The test lung is the simple one (blue bag between two styrofoam sheets and a
# rubber band, tubes tucked under the band for more resistance)
#
# To re-capture:
# * Fire up the vent and also connect it to your computer over serial
# * Run utils/controller_debug.py
# * In there, say:
#
#  ] trace start pressure net_flow volume
#  ] get trace_samples
#  ... (repeat until it says 4096) ...
#  ] trace download --dest=trace.dat
#
time(sec) pressure net_flow volume breath_id
0.000 4.962 -26.011 11.167 176104185
0.010 5.020 19.699 11.136 176104185
0.020 5.004 -5.800 11.205 176104185
0.030 4.984 -21.904 11.067 176104185
0.040 5.018 -19.153 10.861 176104185
0.050 5.009 -16.906 10.681 176104185
0.060 4.966 20.652 10.700 176104185
0.070 4.996 -28.115 10.662 176104185
0.080 4.999 -11.987 10.462 176104185
0.090 5.006 4.856 10.426 176104185
0.100 4.988 -6.135 10.420 176104185
0.110 5.032 -20.624 10.286 176104185
0.120 5.001 4.435 10.205 176104185
0.130 4.974 -42.059 10.017 176104185
0.140 5.050 -14.924 9.732 176104185
0.150 4.977 2.719 9.671 176104185
0.160 4.991 -14.962 9.610 176104185
0.170 4.979 -0.425 9.533 176104185
0.180 5.000 -0.239 9.530 176104185
0.190 4.982 6.916 9.563 176104185
0.200 4.963 6.477 9.630 176104185
0.210 5.005 4.001 9.682 176104185
0.220 4.969 -10.947 9.648 176104185
0.230 4.986 -14.626 9.520 176104185
0.240 4.977 -6.034 9.416 176104185
0.250 4.965 18.020 9.476 176104185
0.260 4.960 -19.078 9.471 176104185
0.270 5.001 10.516 9.428 176104185
0.280 4.989 20.636 9.584 176104185
0.290 4.994 -24.621 9.564 176104185
0.300 5.025 -11.142 9.385 176104185
0.310 5.004 1.830 9.339 176104185
0.320 5.007 12.706 9.411 176104185
0.330 4.982 13.603 9.543 176104185
0.340 5.032 -0.430 9.609 176104185
0.350 5.008 1.322 9.613 176104185
0.360 4.999 -39.036 9.425 176104185
0.370 5.089 6.573 9.262 176104185
0.380 5.024 3.617 9.313 176104185
0.390 4.992 -12.506 9.269 176104185
0.400 5.037 -12.945 9.142 176104185
0.410 5.059 -5.830 9.048 176104185
0.420 4.982 -9.046 8.973 176104185
0.430 5.006 -9.396 8.881 176104185
0.440 5.030 2.193 8.845 176104185
0.450 5.014 -9.602 8.808 176104185
0.460 4.970 16.612 8.843 176104185
0.470 5.022 6.312 8.958 176104185
0.480 5.013 -21.825 8.880 176104185
0.490 4.963 -6.171 8.740 176104185
0.500 5.021 -12.035 8.649 176104185
0.510 5.012 -22.566 8.476 176104185
0.520 4.977 -10.962 8.309 176104185
0.530 4.984 5.789 8.283 176104185
0.540 4.975 30.540 8.464 181114150
0.550 4.965 -9.855 8.568 181114150
0.560 5.071 -13.719 8.450 181114150
0.570 5.194 34.035 8.552 181114150
0.580 5.317 25.238 8.848 181114150
0.590 5.362 101.030 9.479 181114150
0.600 5.673 150.582 10.738 181114150
0.610 6.075 367.954 13.329 181114150
0.620 6.670 326.929 16.804 181114150
0.630 7.364 475.947 20.818 181114150
0.640 8.266 768.092 27.038 181114150
0.650 8.720 831.905 35.041 181114150
0.660 10.512 955.596 43.978 181114150
0.670 11.779 1227.525 54.890 181114150
0.680 12.999 1449.537 68.276 181114150
0.690 14.935 1518.096 83.116 181114150
0.700 16.927 1360.440 97.506 181114150
0.710 18.447 1278.930 110.703 181114150
0.720 19.794 1597.705 125.086 181114150
0.730 21.088 1374.699 139.952 181114150
0.740 22.116 1079.117 152.219 181114150
0.750 22.991 1097.315 163.102 181114150
0.760 23.615 834.049 172.759 181114150
0.770 24.111 566.032 179.758 181114150
0.780 24.780 319.507 184.187 181114150
0.790 23.921 65.869 186.113 181114150
0.800 24.316 -218.770 185.349 181114150
0.810 22.966 -325.364 182.628 181114150
0.820 23.292 -491.185 178.545 181114150
0.830 22.275 -391.149 174.133 181114150
0.840 21.763 -416.804 170.094 181114150
0.850 21.100 -419.764 165.910 181114150
0.860 20.322 -413.948 161.742 181114150
0.870 19.727 -406.505 157.641 181114150
0.880 19.038 -389.467 153.661 181114150
0.890 18.516 -403.143 149.698 181114150
0.900 17.929 -400.553 145.678 181114150
0.910 17.468 -388.383 141.734 181114150
0.920 16.997 -385.564 137.865 181114150
0.930 16.498 -364.108 134.115 181114150
0.940 15.995 -354.632 130.523 181114150
0.950 15.579 -360.764 126.946 181114150
0.960 15.282 -369.776 123.293 181114150
0.970 14.877 -354.652 119.669 181114150
0.980 14.332 -342.760 116.184 181114150
0.990 13.982 -399.564 112.472 181114150
1.000 13.682 -335.276 108.797 181114150
1.010 13.483 -281.417 105.714 181114150
1.020 13.139 -257.726 103.019 181114150
1.030 12.627 -264.754 100.406 181114150
1.040 12.378 -246.502 97.850 181114150
1.050 12.214 -241.486 95.410 181114150
1.060 12.067 -211.466 93.145 181114150
1.070 11.870 -201.042 91.083 181114150
1.080 11.813 -159.807 89.278 181114150
1.090 11.539 -115.510 87.902 181114150
1.100 11.314 -105.847 86.795 181114150
1.110 11.287 -99.426 85.769 181114150
1.120 11.442 -63.334 84.955 181114150
1.130 11.420 -0.763 84.634 181114150
1.140 11.459 15.491 84.708 181114150
1.150 11.365 105.596 85.314 181114150
1.160 11.630 181.913 86.751 181114150
1.170 11.789 341.441 89.368 181114150
1.180 12.316 245.257 92.302 181114150
1.190 12.872 362.275 95.339 181114150
1.200 13.403 393.160 99.116 181114150
1.210 13.662 413.644 103.151 181114150
1.220 14.352 406.293 107.250 181114150
1.230 14.873 530.101 111.931 181114150
1.240 15.520 410.928 116.637 181114150
1.250 15.958 385.625 120.620 181114150
1.260 16.293 532.865 125.211 181114150
1.270 16.801 394.400 129.848 181114150
1.280 17.293 329.230 133.466 181114150
1.290 17.346 277.139 136.498 181114150
1.300 17.618 171.383 138.741 181114150
1.310 18.004 130.367 140.250 181114150
