# Captured 2020-06-21 04:24:23.417792 by unknown user
# Built at revision 944c41f (dirty)
time(sec)  pc_setpoint  pressure  net_flow
0.000  0.000  0.050  -810.950
0.010  0.000  0.047  -802.740
0.020  5.000  0.048  -804.002
0.030  7.000  0.042  21.585
0.040  9.000  0.041  82.030
0.050  11.000  0.054  122.765
0.060  13.000  0.053  822.338
0.070  15.000  -5.658  1374.376
0.080  17.000  3.832  395.465
0.090  19.000  3.928  387.123
0.100  21.000  3.289  383.694
0.110  23.000  3.093  495.471
0.120  25.000  2.974  629.020
0.130  25.000  5.452  813.332
0.140  25.000  5.831  1013.329
0.150  25.000  5.743  768.354
0.160  25.000  5.554  1022.943
0.170  25.000  5.390  1002.024
0.180  25.000  5.670  826.140
0.190  25.000  6.075  967.630
0.200  25.000  6.441  962.172
0.210  25.000  6.421  893.793
0.220  25.000  6.436  757.745
0.230  25.000  6.954  776.214
0.240  25.000  6.741  969.253
0.250  25.000  7.089  959.146
0.260  25.000  7.396  753.955
0.270  25.000  7.298  874.392
0.280  25.000  8.108  762.903
0.290  25.000  8.037  711.908
0.300  25.000  7.811  1016.302
0.310  25.000  7.600  1100.257
0.320  25.000  8.342  805.417
0.330  25.000  8.527  731.081
0.340  25.000  8.664  711.055
0.350  25.000  9.029  734.797
0.360  25.000  9.214  765.481
0.370  25.000  9.040  903.035
0.380  25.000  9.186  782.622
0.390  25.000  9.524  719.186
0.400  25.000  9.695  707.001
0.410  25.000  9.911  717.871
0.420  25.000  9.827  758.655
0.430  25.000  9.977  819.517
0.440  25.000  10.166  847.680
0.450  25.000  10.591  657.002
0.460  25.000  9.894  999.296
0.470  25.000  10.390  790.916
0.480  25.000  10.978  715.672
0.490  25.000  10.511  876.990
0.500  25.000  11.395  785.027
0.510  25.000  10.618  1075.415
0.520  25.000  11.211  741.899
0.530  25.000  11.776  678.514
0.540  25.000  11.646  724.625
0.550  25.000  11.761  759.906
0.560  25.000  11.957  815.210
0.570  25.000  11.927  861.431
0.580  25.000  12.444  809.507
0.590  25.000  12.502  763.607
0.600  25.000  12.568  728.258
0.610  25.000  12.296  762.942
0.620  25.000  12.963  792.778
0.630  25.000  12.861  796.611
0.640  25.000  13.320  743.366
0.650  25.000  13.493  810.270
0.660  25.000  13.722  691.466
0.670  25.000  13.494  776.480
0.680  25.000  13.953  755.464
0.690  25.000  13.905  762.390
0.700  25.000  13.865  779.953
0.710  25.000  14.509  671.155
0.720  25.000  14.174  877.528
0.730  25.000  14.019  852.066
0.740  25.000  14.577  713.565
0.750  25.000  14.501  841.006
0.760  25.000  14.804  798.125
0.770  25.000  15.047  657.476
0.780  25.000  14.964  779.008
0.790  25.000  15.132  769.960
0.800  25.000  15.321  746.956
0.810  25.000  15.474  759.359
0.820  25.000  16.320  652.826
0.830  25.000  15.687  727.963
0.840  25.000  15.847  736.711
0.850  25.000  15.976  802.902
0.860  25.000  16.088  705.163
0.870  25.000  16.460  730.815
0.880  25.000  17.157  663.791
0.890  25.000  16.912  786.428
0.900  25.000  16.874  836.644
0.910  25.000  16.955  760.808
0.920  25.000  17.180  754.794
0.930  25.000  17.253  786.563
0.940  25.000  17.118  782.370
0.950  25.000  17.759  686.395
0.960  25.000  17.757  730.034
0.970  25.000  18.367  665.305
0.980  25.000  18.021  776.481
0.990  25.000  18.624  702.447
1.000  25.000  18.152  940.206
1.010  25.000  18.326  685.934
1.020  25.000  18.600  738.523
1.030  25.000  19.344  667.796
1.040  25.000  18.469  832.986
1.050  25.000  19.383  730.262
1.060  25.000  19.036  747.766
1.070  25.000  19.622  653.597
1.080  25.000  19.697  706.495
1.090  25.000  19.727  645.700
1.100  25.000  20.017  684.430
1.110  25.000  20.289  638.460
1.120  25.000  19.824  722.448
1.130  25.000  19.789  774.864
1.140  25.000  20.336  677.195
1.150  25.000  20.462  736.514
1.160  25.000  20.644  679.557
1.170  25.000  20.831  783.061
1.180  25.000  20.867  667.625
1.190  25.000  20.964  717.328
1.200  25.000  20.851  689.614
1.210  25.000  21.155  695.741
1.220  25.000  21.231  768.559
1.230  25.000  21.057  964.247
1.240  25.000  21.775  625.788
1.250  25.000  21.675  731.890
1.260  25.000  22.142  675.832
1.270  25.000  22.008  681.275
1.280  25.000  22.553  707.605
1.290  25.000  22.659  665.562
1.300  25.000  22.486  737.078
1.310  25.000  22.170  732.504
1.320  25.000  23.062  720.561
1.330  25.000  23.122  722.765
1.340  25.000  22.942  665.889
1.350  25.000  23.357  648.118
1.360  25.000  23.518  655.915
1.370  25.000  23.284  707.846
1.380  25.000  23.612  742.662
1.390  25.000  23.526  724.806
1.400  25.000  23.874  689.551
1.410  25.000  23.824  700.227
1.420  25.000  24.280  697.462
1.430  25.000  23.969  782.727
1.440  25.000  24.911  615.275
1.450  25.000  24.397  822.747
1.460  25.000  24.368  703.474
1.470  25.000  24.907  708.265
1.480  25.000  24.926  680.157
1.490  25.000  25.339  662.628
1.500  25.000  25.327  689.806
1.510  25.000  25.265  711.091
1.520  25.000  25.220  705.595
1.530  25.000  25.088  681.176
1.540  25.000  25.463  759.140
1.550  25.000  25.937  637.696
1.560  25.000  26.063  639.279
1.570  25.000  25.835  732.858
1.580  25.000  25.562  712.396
1.590  25.000  25.997  632.378
1.600  25.000  25.746  632.466
1.610  25.000  24.961  630.538
1.620  25.000  26.005  586.541
1.630  25.000  25.366  637.230
1.640  25.000  25.548  549.098
1.650  25.000  25.583  523.444
1.660  25.000  25.173  552.702
1.670  25.000  26.056  496.817
1.680  25.000  26.213  510.143
1.690  25.000  26.050  545.612
1.700  25.000  26.154  513.087
1.710  25.000  26.008  507.140
1.720  25.000  26.082  474.929
1.730  25.000  25.499  421.462
1.740  25.000  25.830  401.737
1.750  25.000  25.510  396.362
1.760  25.000  25.444  391.560
1.770  25.000  24.793  430.982
1.780  25.000  25.801  353.371
1.790  25.000  25.511  337.377
1.800  25.000  25.193  361.057
1.810  25.000  25.773  283.060
1.820  25.000  25.330  301.576
1.830  25.000  25.698  269.207
1.840  25.000  25.416  309.136
1.850  25.000  25.763  257.323
1.860  25.000  25.844  247.089
1.870  25.000  25.771  272.089
1.880  25.000  25.811  222.043
1.890  25.000  25.496  205.074
1.900  25.000  25.318  171.781
1.910  25.000  25.204  175.170
1.920  25.000  25.761  132.324
1.930  25.000  25.206  127.979
1.940  25.000  25.325  105.135
1.950  25.000  24.899  121.200
1.960  25.000  25.393  98.772
1.970  25.000  25.381  79.353
1.980  25.000  25.106  70.584
1.990  25.000  25.438  38.607
2.000  25.000  25.145  42.052
2.010  25.000  24.923  50.945
2.020  25.000  25.328  35.145
