# Captured 2020-06-21 15:57:07.588655 by unknown user
# Built at revision d95a2b7 (dirty)
time(sec) pc_setpoint pressure
0.000 0.000 0.011
0.010 0.000 0.020
0.020 0.000 0.019
0.030 0.000 0.010
0.040 0.000 0.007
0.050 0.000 0.014
0.060 0.000 0.014
0.070 0.000 0.007
0.080 0.000 0.014
0.090 0.000 0.006
0.100 0.000 0.012
0.110 0.000 0.005
0.120 0.000 0.012
0.130 0.000 0.016
0.140 0.000 0.010
0.150 0.000 0.016
0.160 0.000 0.014
0.170 0.000 0.013
0.180 0.000 0.022
0.190 0.000 0.018
0.200 0.000 0.021
0.210 0.000 0.014
0.220 0.000 0.011
0.230 0.000 0.010
0.240 0.000 0.012
0.250 0.000 0.009
0.260 0.000 0.017
0.270 0.000 0.006
0.280 0.000 0.009
0.290 0.000 0.014
0.300 0.000 0.012
0.310 0.000 0.014
0.320 0.000 0.014
0.330 0.000 0.018
0.340 0.000 0.008
0.350 0.000 0.020
0.360 0.000 0.020
0.370 0.000 0.014
0.380 0.000 0.001
0.390 0.000 0.010
0.400 0.000 0.014
0.410 0.000 0.007
0.420 0.000 0.010
0.430 0.000 0.007
0.440 0.000 0.009
0.450 0.000 0.008
0.460 0.000 0.016
0.470 0.000 0.023
0.480 0.000 0.014
0.490 0.000 0.016
0.500 0.000 0.012
0.510 0.000 0.012
0.520 0.000 0.009
0.530 0.000 0.014
0.540 0.000 0.017
0.550 0.000 0.008
0.560 0.000 0.005
0.570 0.000 0.009
0.580 0.000 0.009
0.590 0.000 0.018
0.600 0.000 0.011
0.610 0.000 0.009
0.620 0.000 0.009
0.630 0.000 0.005
0.640 0.000 0.017
0.650 0.000 0.019
0.660 0.000 0.017
0.670 0.000 0.014
0.680 0.000 0.017
0.690 0.000 0.016
0.700 0.000 0.014
0.710 0.000 0.005
0.720 0.000 0.015
0.730 0.000 0.013
0.740 0.000 0.015
0.750 0.000 0.014
0.760 0.000 0.012
0.770 0.000 0.012
0.780 0.000 0.016
0.790 0.000 0.015
0.800 0.000 0.001
0.810 0.000 0.009
0.820 0.000 0.025
0.830 0.000 0.019
0.840 0.000 0.008
0.850 0.000 0.011
0.860 0.000 0.006
0.870 0.000 0.000
0.880 0.000 0.003
0.890 0.000 0.010
0.900 0.000 0.027
0.910 0.000 0.020
0.920 0.000 0.016
0.930 0.000 0.014
0.940 0.000 0.010
0.950 0.000 0.011
0.960 0.000 0.013
0.970 0.000 0.005
0.980 0.000 0.006
0.990 0.000 0.015
1.000 0.000 0.015
1.010 0.000 0.019
1.020 0.000 0.022
1.030 0.000 0.020
1.040 0.000 0.003
1.050 0.000 0.006
1.060 0.000 0.009
1.070 0.000 0.003
1.080 0.000 0.009
1.090 0.000 0.012
1.100 0.000 0.020
1.110 0.000 0.028
1.120 0.000 0.023
1.130 0.000 0.013
1.140 0.000 0.012
1.150 0.000 0.010
1.160 0.000 -0.000
1.170 0.000 0.013
1.180 0.000 0.009
1.190 0.000 0.020
1.200 0.000 0.022
1.210 0.000 0.015
1.220 0.000 0.024
1.230 0.000 0.009
1.240 0.000 0.003
1.250 0.000 0.011
1.260 0.000 0.021
1.270 0.000 0.021
1.280 0.000 0.011
1.290 0.000 0.017
1.300 0.000 0.011
1.310 0.000 0.018
1.320 0.000 0.010
1.330 0.000 -0.002
