# covent_pc_1
# Captured 2020-06-21 05:14:27.386497 by unknown user
# Built at revision 050777a (dirty)
time(sec)  pc_setpoint  pressure  volume  net_flow
0.000  5.000  5.667  73.983  -233.806
0.010  5.000  5.589  71.650  -232.729
0.020  5.000  5.479  69.343  -228.642
0.030  5.000  5.544  67.103  -219.585
0.040  5.000  5.453  64.889  -223.112
0.050  5.000  5.459  62.648  -225.080
0.060  5.000  5.443  60.385  -227.451
0.070  5.000  5.403  58.125  -224.689
0.080  5.000  5.459  55.866  -227.066
0.090  5.000  5.372  53.606  -224.952
0.100  5.000  5.340  51.397  -216.816
0.110  5.000  5.241  49.249  -212.850
0.120  5.000  5.209  47.089  -219.122
0.130  5.000  5.224  44.903  -218.032
0.140  5.000  5.121  42.749  -212.851
0.150  5.000  5.183  40.596  -217.641
0.160  5.000  5.078  38.476  -206.394
0.170  5.000  5.112  36.407  -207.432
0.180  5.000  5.013  34.348  -204.259
0.190  5.000  4.890  32.383  -188.934
0.200  5.000  4.881  30.473  -193.064
0.210  5.000  4.966  28.503  -200.847
0.220  5.000  5.014  26.578  -184.126
0.230  5.000  4.941  24.709  -189.755
0.240  5.000  4.828  22.829  -186.164
0.250  5.000  4.773  21.009  -177.953
0.260  5.000  4.800  19.281  -167.564
0.270  5.000  4.911  17.618  -164.983
0.280  5.000  4.850  15.943  -170.058
0.290  5.000  4.839  14.329  -152.767
0.300  5.000  4.853  12.835  -146.026
0.310  5.000  4.868  11.348  -151.495
0.320  5.000  4.824  9.892  -139.647
0.330  5.000  4.776  8.499  -138.906
0.340  5.000  4.839  7.156  -129.745
0.350  5.000  4.762  5.898  -121.917
0.360  5.000  4.778  4.765  -104.561
0.370  5.000  4.864  3.758  -96.848
0.380  5.000  4.864  2.815  -91.740
0.390  5.000  4.834  1.916  -88.066
0.400  5.000  4.864  1.037  -87.865
0.410  5.000  4.812  0.233  -72.820
0.420  5.000  4.839  -0.477  -69.259
0.430  5.000  4.733  -1.072  -49.701
0.440  5.000  4.863  -1.589  -53.787
0.450  5.000  4.813  -2.032  -34.665
0.460  5.000  4.864  -2.330  -25.029
0.470  5.000  4.814  -2.537  -16.239
0.480  5.000  4.870  -2.716  -19.678
0.490  5.000  4.772  -2.825  -2.016
0.500  5.000  4.830  -2.895  -11.968
0.510  5.000  4.921  -3.044  -18.007
0.520  5.000  4.939  -3.069  13.056
0.530  5.000  4.932  -2.897  21.355
0.540  5.000  4.832  -2.650  28.026
0.550  5.000  4.859  -2.333  35.354
0.560  5.000  4.990  -2.044  22.594
0.570  5.000  5.007  -1.805  25.098
0.580  5.000  4.931  -1.504  35.143
0.590  5.000  4.927  -1.129  39.742
0.600  5.000  4.933  -0.716  42.930
0.610  5.000  5.003  -0.265  47.262
0.620  5.000  5.030  0.108  27.312
0.630  5.000  5.022  0.435  38.174
0.640  5.000  4.981  0.884  51.492
0.650  5.000  5.113  1.287  29.207
0.660  5.000  5.040  1.754  64.270
0.670  5.000  5.007  2.290  42.953
0.680  5.000  5.044  2.807  60.336
0.690  5.000  5.101  3.321  42.437
0.700  5.000  5.042  3.798  53.053
0.710  5.000  5.056  4.240  35.270
0.720  5.000  5.166  4.516  19.866
0.730  5.000  5.088  4.873  51.663
0.740  5.000  5.081  5.320  37.665
0.750  5.000  5.152  5.697  37.799
0.760  5.000  5.179  6.076  38.079
0.770  6.000  5.051  6.467  40.032
0.780  7.000  5.166  6.832  32.938
0.790  8.000  5.369  7.448  90.225
0.800  9.000  5.790  8.577  135.646
0.810  10.000  6.349  10.484  245.873
0.820  11.000  7.039  13.424  341.991
0.830  12.000  7.326  17.097  392.624
0.840  13.000  7.944  21.274  442.848
0.850  14.000  7.994  26.120  526.403
0.860  15.000  8.502  31.438  537.180
0.870  15.000  8.907  37.147  604.599
0.880  15.000  10.045  43.647  695.416
0.890  15.000  9.936  50.752  725.510
0.900  15.000  9.819  58.210  766.194
0.910  15.000  10.193  65.364  664.044
0.920  15.000  9.994  72.682  800.073
0.930  15.000  10.102  80.143  692.127
0.940  15.000  10.245  87.116  702.424
0.950  15.000  10.724  94.174  709.213
0.960  15.000  11.179  101.029  661.740
0.970  15.000  10.802  108.049  742.566
0.980  15.000  11.290  114.932  634.041
0.990  15.000  10.968  122.519  882.934
1.000  15.000  11.520  130.574  728.504
1.010  15.000  11.667  137.647  685.920
1.020  15.000  11.667  144.604  705.529
1.030  15.000  11.755  151.873  748.242
1.040  15.000  11.727  159.680  813.316
1.050  15.000  12.465  166.887  628.022
1.060  15.000  12.291  173.488  692.157
1.070  15.000  13.106  180.309  672.115
1.080  15.000  12.655  186.999  665.806
1.090  15.000  12.814  193.958  725.950
1.100  15.000  13.109  200.884  659.285
1.110  15.000  13.137  207.510  665.972
1.120  15.000  12.860  215.594  950.688
1.130  15.000  13.747  223.260  582.815
1.140  15.000  13.761  229.740  713.087
1.150  15.000  13.487  236.798  698.457
1.160  15.000  13.745  243.803  702.631
1.170  15.000  13.930  250.620  660.437
1.180  15.000  14.330  257.238  663.404
1.190  15.000  13.919  264.951  879.219
1.200  15.000  14.371  272.839  698.221
1.210  15.000  14.692  279.352  604.518
1.220  15.000  14.503  286.217  768.664
1.230  15.000  14.752  293.562  700.423
1.240  15.000  15.007  300.011  588.836
1.250  15.000  15.050  306.482  705.813
1.260  15.000  15.047  313.751  747.978
1.270  15.000  15.321  320.917  685.022
1.280  15.000  15.314  327.533  638.396
1.290  15.000  15.988  334.034  661.720
1.300  15.000  14.914  342.430  1017.596
1.310  15.000  16.222  350.434  583.169
1.320  15.000  15.608  356.650  660.021
1.330  15.000  15.935  363.217  653.480
1.340  15.000  16.192  369.464  595.787
1.350  15.000  15.674  376.012  713.789
1.360  15.000  16.051  383.002  684.327
1.370  15.000  15.280  389.597  634.667
1.380  15.000  15.815  395.581  562.092
1.390  15.000  16.131  401.178  557.362
1.400  15.000  15.912  406.762  559.570
1.410  15.000  16.503  412.121  512.246
1.420  15.000  16.377  417.417  546.616
1.430  15.000  16.489  422.710  512.214
1.440  15.000  15.797  428.116  569.040
1.450  15.000  16.553  433.345  476.465
1.460  15.000  15.814  438.510  556.876
1.470  15.000  15.992  443.666  474.312
1.480  15.000  15.982  448.305  453.434
1.490  15.000  15.989  452.775  440.625
1.500  15.000  16.317  457.340  472.107
1.510  15.000  16.052  461.832  426.675
1.520  15.000  16.761  465.945  395.705
1.530  15.000  16.838  469.813  378.081
1.540  15.000  16.024  473.441  347.520
1.550  15.000  15.283  477.013  366.798
1.560  15.000  15.481  480.402  310.936
1.570  15.000  15.992  483.316  271.885
1.580  15.000  15.978  486.030  270.892
1.590  15.000  15.603  488.625  248.079
1.600  15.000  15.735  491.060  238.827
1.610  15.000  16.005  493.363  221.762
1.620  15.000  15.731  495.335  172.885
1.630  15.000  15.736  497.277  215.492
1.640  15.000  15.745  499.168  162.770
1.650  15.000  15.711  500.694  142.397
1.660  15.000  15.504  502.057  130.189
1.670  15.000  15.688  503.105  79.388
1.680  15.000  15.170  504.032  105.954
1.690  15.000  15.372  504.864  60.499
1.700  15.000  15.395  505.366  39.920
1.710  15.000  15.473  505.765  39.887
1.720  15.000  15.435  505.973  1.662
1.730  15.000  15.141  505.987  1.086
1.740  15.000  15.337  505.905  -17.472
1.750  15.000  15.149  505.716  -20.241
1.760  15.000  15.340  505.526  -17.845
1.770  5.000  15.173  505.198  -47.785
1.780  5.000  14.978  502.058  -580.174
1.790  5.000  9.455  495.560  -719.453
1.800  5.000  11.748  489.940  -404.574
1.810  5.000  12.646  484.567  -669.911
1.820  5.000  13.204  479.202  -403.041
1.830  5.000  12.789  474.728  -491.772
1.840  5.000  12.634  470.014  -451.090
1.850  5.000  12.333  465.395  -472.719
1.860  5.000  12.421  460.723  -461.585
1.870  5.000  12.303  456.161  -450.841
1.880  5.000  12.139  451.617  -457.808
1.890  5.000  12.176  447.050  -455.974
1.900  5.000  12.008  442.444  -465.126
1.910  5.000  11.919  437.892  -445.284
