# covent_pc_3
# Captured 2020-07-03 20:40:25.906772 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
0.000 5.000 0.496 2.059 1.007 0.472 0.368 0.000
0.010 5.000 0.500 1.776 0.919 0.470 0.369 0.000
0.020 5.000 0.512 1.868 1.071 0.465 0.372 0.000
0.030 5.000 0.527 1.768 1.335 0.457 0.376 0.000
0.040 5.000 0.505 1.781 1.060 0.455 0.377 0.000
0.050 5.000 0.509 1.677 1.083 0.451 0.380 0.000
0.060 5.000 0.495 1.528 0.924 0.450 0.380 0.000
0.070 5.000 0.516 1.363 1.192 0.444 0.383 0.000
0.080 5.000 0.504 1.470 1.134 0.442 0.384 0.000
0.090 5.000 0.497 1.268 0.919 0.441 0.385 0.000
0.100 5.000 0.532 1.303 1.117 0.431 0.390 0.000
0.110 5.000 0.514 1.023 1.227 0.427 0.392 0.000
0.120 5.000 0.521 1.060 1.133 0.421 0.396 0.000
0.130 5.000 0.494 0.851 1.110 0.421 0.396 0.000
0.140 5.000 0.498 0.890 1.025 0.420 0.397 0.000
0.150 5.000 0.516 0.693 1.325 0.414 0.400 0.000
0.160 5.000 0.516 0.787 1.350 0.409 0.403 0.000
0.170 5.000 0.503 0.749 1.112 0.407 0.404 0.000
0.180 5.000 0.486 0.649 1.102 0.408 0.403 0.000
0.190 5.000 0.500 0.913 1.139 0.405 0.404 0.000
0.200 5.000 0.487 0.668 0.939 0.407 0.404 0.000
0.210 5.000 0.483 0.712 0.934 0.408 0.403 0.000
0.220 5.000 0.496 0.713 1.163 0.407 0.404 0.000
0.230 5.000 0.476 0.629 1.194 0.410 0.402 0.000
0.240 5.000 0.479 0.695 1.061 0.413 0.401 0.000
0.250 5.000 0.471 0.872 1.012 0.417 0.398 0.000
0.260 5.000 0.476 0.605 0.969 0.420 0.397 0.000
0.270 5.000 0.482 1.009 1.084 0.421 0.396 0.000
0.280 5.000 0.482 0.650 1.070 0.423 0.395 0.000
0.290 5.000 0.460 0.970 1.017 0.429 0.391 0.000
0.300 5.000 0.467 1.052 0.817 0.434 0.389 0.000
0.310 5.000 0.472 0.816 0.949 0.437 0.387 0.000
0.320 5.000 0.485 1.015 1.167 0.438 0.387 0.000
0.330 5.000 0.472 0.983 1.110 0.442 0.384 0.000
0.340 5.000 0.464 1.303 0.776 0.448 0.381 0.000
0.350 5.000 0.451 1.086 0.894 0.456 0.377 0.000
0.360 5.000 0.477 1.367 1.129 0.458 0.376 0.000
0.370 7.500 0.505 1.554 1.082 0.512 0.346 0.000
0.380 10.000 0.494 1.864 1.003 0.620 0.287 0.000
0.390 12.501 0.566 2.383 1.281 0.759 0.210 0.000
0.400 15.000 0.802 4.692 1.456 0.893 0.136 0.000
0.410 17.500 1.061 7.918 1.329 1.000 0.065 0.000
0.420 20.000 1.116 10.891 0.917 1.000 0.050 0.000
0.430 22.500 1.249 16.130 0.526 1.000 0.050 0.000
0.440 25.000 1.414 21.091 0.667 1.000 0.050 0.000
0.450 27.500 1.605 21.818 0.847 1.000 0.050 0.000
0.460 30.000 1.584 23.684 0.778 1.000 0.050 0.000
0.470 30.000 1.587 24.344 0.340 1.000 0.050 0.000
0.480 30.000 1.633 20.823 0.764 1.000 0.050 0.000
0.490 30.000 1.613 22.776 0.657 1.000 0.050 0.000
0.500 30.000 1.718 20.818 1.181 1.000 0.050 0.000
0.510 30.000 1.761 20.539 0.773 1.000 0.050 0.000
0.520 30.000 1.790 20.137 0.769 1.000 0.050 0.000
0.530 30.000 1.847 19.057 0.977 1.000 0.050 0.000
0.540 30.000 1.871 20.816 0.805 1.000 0.050 0.000
0.550 30.000 1.930 20.328 0.517 1.000 0.050 0.000
0.560 30.000 1.979 20.567 0.624 1.000 0.050 0.000
0.570 30.000 2.058 17.051 1.024 1.000 0.050 0.000
0.580 30.000 2.037 18.716 0.883 1.000 0.050 0.000
0.590 30.000 2.031 19.045 0.605 1.000 0.050 0.000
0.600 30.000 2.115 19.193 0.898 1.000 0.050 0.000
0.610 30.000 2.194 18.867 0.923 1.000 0.050 0.000
0.620 30.000 2.205 17.957 0.770 1.000 0.050 0.000
0.630 30.000 2.191 16.401 0.830 1.000 0.050 0.000
0.640 30.000 2.228 16.350 0.781 1.000 0.050 0.000
0.650 30.000 2.270 16.722 0.849 1.000 0.050 0.000
0.660 30.000 2.317 17.175 1.076 1.000 0.050 0.000
0.670 30.000 2.343 17.229 0.500 1.000 0.050 0.000
0.680 30.000 2.406 14.780 1.047 1.000 0.050 0.000
0.690 30.000 2.483 16.315 1.476 1.000 0.050 0.000
0.700 30.000 2.523 15.366 1.224 1.000 0.050 0.000
0.710 30.000 2.532 15.517 1.237 1.000 0.050 0.000
0.720 30.000 2.561 14.235 1.006 1.000 0.050 0.000
0.730 30.000 2.583 14.930 0.909 1.000 0.050 0.000
0.740 30.000 2.649 14.257 1.104 1.000 0.050 0.000
0.750 30.000 2.669 15.672 1.049 1.000 0.050 0.000
0.760 30.000 2.666 14.121 0.613 1.000 0.050 0.000
0.770 30.000 2.775 14.194 1.153 1.000 0.050 0.000
0.780 30.000 2.836 13.810 1.535 1.000 0.050 0.000
0.790 30.000 2.803 13.705 1.160 1.000 0.050 0.000
0.800 30.000 2.834 14.000 1.010 1.000 0.050 0.000
0.810 30.000 2.904 12.623 1.559 1.000 0.050 0.000
0.820 30.000 2.906 12.835 1.038 1.000 0.050 0.000
0.830 30.000 2.964 13.114 0.857 1.000 0.053 0.000
0.840 30.000 2.967 11.890 1.124 1.000 0.056 0.000
0.850 30.000 2.993 13.286 1.091 1.000 0.062 0.000
0.860 30.000 3.025 12.525 1.180 1.000 0.072 0.000
0.870 30.000 2.955 12.990 1.078 1.000 0.072 0.000
0.880 30.000 3.000 11.519 1.310 0.997 0.079 0.000
0.890 30.000 3.039 12.564 1.674 0.976 0.091 0.000
0.900 30.000 2.980 13.743 1.256 0.971 0.094 0.000
0.910 30.000 3.065 11.448 2.035 0.943 0.109 0.000
0.920 30.000 3.077 11.760 2.572 0.915 0.124 0.000
0.930 30.000 3.048 12.548 2.045 0.895 0.135 0.000
0.940 30.000 3.074 11.580 2.383 0.868 0.150 0.000
0.950 30.000 3.153 11.552 2.730 0.822 0.175 0.000
0.960 30.000 3.123 11.113 2.539 0.787 0.194 0.000
0.970 30.000 3.133 11.424 3.048 0.749 0.216 0.000
0.980 30.000 3.080 11.222 3.324 0.723 0.230 0.000
0.990 30.000 3.126 10.867 4.398 0.685 0.251 0.000
1.000 30.000 3.111 10.853 4.671 0.651 0.269 0.000
1.010 30.000 3.111 10.460 4.574 0.618 0.288 0.000
1.020 30.000 3.199 10.640 5.070 0.563 0.318 0.000
1.030 30.000 3.106 9.560 5.214 0.534 0.334 0.000
1.040 30.000 2.999 9.239 5.622 0.527 0.338 0.000
1.050 30.000 2.980 8.801 5.932 0.520 0.342 0.000
1.060 30.000 3.021 7.101 6.323 0.502 0.351 0.000
1.070 30.000 2.990 5.876 6.593 0.494 0.356 0.000
