# covent_pc_5
# Captured 2020-07-03 03:13:08.411757 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
0.000 5.000 0.486 1.858 1.691 0.511 0.346 0.000
0.010 5.000 0.482 1.838 1.529 0.512 0.346 0.000
0.020 5.000 0.494 1.980 1.676 0.511 0.346 0.000
0.030 5.000 0.500 1.960 1.597 0.510 0.347 0.000
0.040 5.000 0.493 1.860 1.513 0.510 0.347 0.000
0.050 5.000 0.474 1.883 1.478 0.512 0.346 0.000
0.060 5.000 0.485 1.824 1.377 0.512 0.346 0.000
0.070 5.000 0.497 1.829 1.611 0.511 0.346 0.000
0.080 5.000 0.503 1.801 1.679 0.510 0.347 0.000
0.090 5.000 0.496 1.896 1.645 0.509 0.347 0.000
0.100 5.000 0.497 1.849 1.527 0.509 0.348 0.000
0.110 5.000 0.511 1.804 1.545 0.506 0.349 0.000
0.120 5.000 0.510 1.672 1.691 0.504 0.350 0.000
0.130 5.000 0.520 1.742 1.883 0.501 0.352 0.000
0.140 5.000 0.493 1.791 1.580 0.502 0.352 0.000
0.150 5.000 0.497 1.711 1.560 0.501 0.352 0.000
0.160 5.000 0.472 1.698 1.295 0.504 0.350 0.000
0.170 5.000 0.508 1.604 1.690 0.501 0.352 0.000
0.180 5.000 0.507 1.654 1.713 0.499 0.353 0.000
0.190 5.000 0.510 1.585 1.681 0.497 0.354 0.000
0.200 5.000 0.496 1.662 1.571 0.497 0.354 0.000
0.210 5.000 0.480 1.432 1.492 0.499 0.353 0.000
0.220 5.000 0.488 1.535 1.662 0.498 0.353 0.000
0.230 5.000 0.502 1.641 1.603 0.497 0.354 0.000
0.240 5.000 0.489 1.495 1.586 0.497 0.354 0.000
0.250 5.000 0.502 1.655 1.585 0.496 0.355 0.000
0.260 5.000 0.489 1.506 1.451 0.496 0.355 0.000
0.270 5.000 0.480 1.545 1.441 0.498 0.354 0.000
0.280 5.000 0.483 1.520 1.496 0.498 0.353 0.000
0.290 5.000 0.490 1.469 1.585 0.498 0.354 0.000
0.300 5.000 0.508 1.438 1.729 0.496 0.355 0.000
0.310 5.000 0.500 1.457 1.732 0.495 0.355 0.000
0.320 5.000 0.486 1.350 1.593 0.496 0.355 0.000
0.330 5.000 0.483 1.442 1.606 0.497 0.354 0.000
0.340 5.000 0.488 1.586 1.608 0.497 0.354 0.000
0.350 5.000 0.481 1.562 1.457 0.498 0.354 0.000
0.360 5.000 0.489 1.527 1.606 0.498 0.354 0.000
0.370 5.000 0.486 1.502 1.542 0.499 0.353 0.000
0.380 5.000 0.477 1.566 1.535 0.500 0.352 0.000
0.390 5.000 0.494 1.593 1.711 0.499 0.353 0.000
0.400 5.000 0.476 1.682 1.464 0.501 0.352 0.000
0.410 5.000 0.485 1.577 1.254 0.502 0.352 0.000
0.420 5.000 0.491 1.595 1.467 0.501 0.352 0.000
0.430 5.000 0.482 1.572 1.462 0.502 0.351 0.000
0.440 5.000 0.478 1.465 1.528 0.504 0.350 0.000
0.450 5.000 0.478 1.655 1.585 0.505 0.350 0.000
0.460 5.000 0.495 1.791 1.580 0.504 0.350 0.000
0.470 6.500 0.484 1.773 1.446 0.526 0.338 0.000
0.480 8.000 0.476 2.151 1.361 0.563 0.318 0.000
0.490 9.500 0.532 2.295 1.694 0.606 0.294 0.000
0.500 11.000 0.538 2.673 1.630 0.666 0.261 0.000
0.510 12.500 0.636 4.467 1.836 0.727 0.228 0.000
0.520 14.000 0.751 5.760 1.878 0.790 0.193 0.000
0.530 15.500 0.912 8.353 2.147 0.851 0.160 0.000
0.540 17.000 1.109 11.524 2.419 0.904 0.130 0.000
0.550 18.500 1.275 14.311 2.356 0.958 0.101 0.000
0.560 20.000 1.466 16.603 2.390 1.000 0.075 0.000
0.570 20.000 1.585 17.374 2.657 1.000 0.056 0.000
0.580 20.000 1.745 18.561 2.601 1.000 0.050 0.000
0.590 20.000 1.881 21.057 2.294 1.000 0.050 0.000
0.600 20.000 2.035 20.889 2.795 1.000 0.056 0.000
0.610 20.000 2.045 19.512 2.523 1.000 0.060 0.000
0.620 20.000 2.116 20.366 2.838 1.000 0.071 0.000
0.630 20.000 2.155 20.793 3.077 0.992 0.082 0.000
0.640 20.000 2.092 17.703 2.939 0.981 0.088 0.000
0.650 20.000 2.159 19.615 3.984 0.959 0.100 0.000
0.660 20.000 2.129 19.494 3.452 0.943 0.109 0.000
0.670 20.000 2.208 18.738 3.905 0.915 0.124 0.000
0.680 20.000 2.072 19.483 2.837 0.910 0.127 0.000
0.690 20.000 2.176 19.020 3.691 0.884 0.141 0.000
0.700 20.000 2.219 17.630 4.483 0.857 0.156 0.000
0.710 20.000 2.185 18.322 4.455 0.835 0.168 0.000
0.720 20.000 2.087 19.000 4.205 0.827 0.173 0.000
0.730 20.000 2.103 18.249 4.596 0.812 0.181 0.000
0.740 20.000 2.126 19.540 4.756 0.795 0.190 0.000
0.750 20.000 2.070 18.173 4.982 0.786 0.195 0.000
0.760 20.000 2.092 15.793 4.839 0.772 0.203 0.000
0.770 20.000 2.065 16.519 4.855 0.763 0.208 0.000
0.780 20.000 2.058 15.727 4.793 0.753 0.213 0.000
0.790 20.000 2.002 15.138 4.651 0.752 0.214 0.000
0.800 20.000 1.844 12.759 4.088 0.770 0.204 0.000
0.810 20.000 1.787 10.524 4.340 0.789 0.193 0.000
0.820 20.000 1.668 8.776 3.740 0.823 0.175 0.000
0.830 20.000 1.736 9.723 3.975 0.843 0.164 0.000
0.840 20.000 1.871 10.500 4.008 0.847 0.162 0.000
0.850 20.000 2.014 13.021 4.535 0.836 0.168 0.000
0.860 20.000 1.893 11.411 3.413 0.848 0.161 0.000
0.870 20.000 1.980 11.800 4.111 0.842 0.164 0.000
0.880 20.000 2.016 12.424 4.448 0.835 0.168 0.000
0.890 20.000 1.977 11.310 3.970 0.835 0.168 0.000
0.900 20.000 2.020 11.283 4.318 0.828 0.172 0.000
0.910 20.000 1.974 11.057 3.998 0.828 0.172 0.000
0.920 20.000 2.006 10.056 4.272 0.823 0.175 0.000
0.930 20.000 1.991 11.336 4.296 0.820 0.176 0.000
0.940 20.000 2.012 11.069 4.289 0.814 0.180 0.000
0.950 20.000 1.961 11.007 4.152 0.816 0.179 0.000
0.960 20.000 2.009 10.119 4.344 0.810 0.182 0.000
0.970 20.000 2.053 10.790 4.475 0.799 0.188 0.000
0.980 20.000 2.005 9.078 4.504 0.796 0.190 0.000
0.990 20.000 1.946 8.874 4.366 0.800 0.187 0.000
1.000 20.000 1.974 8.508 4.209 0.798 0.189 0.000
1.010 20.000 2.019 8.730 4.711 0.790 0.193 0.000
1.020 20.000 1.950 8.682 4.368 0.794 0.191 0.000
