# Captured 2020-06-21 03:47:24.254526 by unknown user
# Built at revision 8ca98ec (dirty)
time(sec)  pc_setpoint  pressure
0.000  5.000  4.987
0.010  5.000  4.926
0.020  5.000  4.916
0.030  5.000  4.911
0.040  5.000  5.035
0.050  5.000  4.992
0.060  5.000  4.955
0.070  5.000  4.720
0.080  5.000  5.087
0.090  5.000  4.935
0.100  5.000  4.880
0.110  5.000  4.916
0.120  5.000  5.060
0.130  5.000  5.070
0.140  5.000  5.022
0.150  5.000  4.931
0.160  5.000  5.051
0.170  5.000  4.991
0.180  5.000  5.061
0.190  5.000  5.006
0.200  5.000  5.038
0.210  5.000  5.036
0.220  5.000  5.041
0.230  5.000  4.969
0.240  5.000  5.004
0.250  5.000  5.067
0.260  5.000  4.943
0.270  5.000  5.076
0.280  5.000  4.993
0.290  5.000  5.006
0.300  5.000  5.028
0.310  5.000  5.115
0.320  5.000  5.078
0.330  5.000  5.020
0.340  5.000  4.773
0.350  5.000  4.946
0.360  5.000  5.171
0.370  5.000  5.005
0.380  5.000  4.907
0.390  5.000  4.958
0.400  5.000  5.038
0.410  5.000  4.973
0.420  5.000  5.064
0.430  5.000  5.014
0.440  5.000  4.890
0.450  5.000  4.918
0.460  5.000  5.102
0.470  5.000  5.161
0.480  5.000  4.989
0.490  5.000  4.971
0.500  5.000  4.944
0.510  5.000  4.908
0.520  5.000  4.961
0.530  5.000  5.032
0.540  5.000  4.921
0.550  5.000  4.870
0.560  5.000  4.911
0.570  5.000  5.236
0.580  5.000  5.127
0.590  5.000  4.753
0.600  5.000  4.931
0.610  5.000  4.953
0.620  5.000  4.932
0.630  5.000  5.103
0.640  5.000  4.857
0.650  5.000  5.059
0.660  5.000  4.946
0.670  5.000  5.087
0.680  5.000  4.912
0.690  5.000  5.070
0.700  5.000  4.959
0.710  5.000  5.077
0.720  5.000  4.962
0.730  5.000  5.117
0.740  5.000  5.021
0.750  5.000  4.946
0.760  5.000  5.109
0.770  5.000  5.092
0.780  5.000  5.125
0.790  5.000  4.911
0.800  5.000  5.067
0.810  5.000  5.131
0.820  5.000  5.055
0.830  5.000  4.906
0.840  5.000  5.083
0.850  5.000  5.121
0.860  5.000  5.165
0.870  5.000  5.005
0.880  5.000  4.836
0.890  5.000  5.059
0.900  5.000  5.056
0.910  5.000  4.944
0.920  5.000  4.897
0.930  5.000  4.862
0.940  5.000  4.959
0.950  5.000  4.952
0.960  5.000  5.056
0.970  5.000  4.883
0.980  5.000  5.059
0.990  5.000  4.996
1.000  5.000  4.890
1.010  5.000  4.974
1.020  5.000  5.085
1.030  5.000  4.936
1.040  5.000  4.843
1.050  5.000  4.902
1.060  5.000  4.984
1.070  5.000  5.047
1.080  5.000  5.013
1.090  5.000  4.838
1.100  5.000  4.918
1.110  5.000  5.298
1.120  5.000  4.954
1.130  5.000  4.964
1.140  5.000  4.958
1.150  8.000  4.964
1.160  11.000  5.197
1.170  14.000  5.946
1.180  17.001  8.570
1.190  20.000  11.368
1.200  23.000  13.144
1.210  26.000  14.852
1.220  29.000  18.562
1.230  32.001  21.326
1.240  35.000  22.414
1.250  35.000  23.190
1.260  35.000  23.141
1.270  35.000  24.036
1.280  35.000  23.601
1.290  35.000  23.520
1.300  35.000  24.462
1.310  35.000  25.041
1.320  35.000  24.515
1.330  35.000  25.523
1.340  35.000  25.051
1.350  35.000  25.885
1.360  35.000  25.742
1.370  35.000  25.839
1.380  35.000  25.703
1.390  35.000  26.305
1.400  35.000  25.988
1.410  35.000  26.400
1.420  35.000  27.035
1.430  35.000  27.308
1.440  35.000  26.715
1.450  35.000  27.847
1.460  35.000  27.303
1.470  35.000  28.134
1.480  35.000  27.764
1.490  35.000  28.440
1.500  35.000  28.372
