Interval=	0.01 s
ExcelDateTime=	4.4003156517691241e+004	6/21/2020 3:45:23.128523
TimeFormat=	StartOfBlock
DateFormat=
ChannelTitle=	Flow	Pressure	Volume	Breath Rate	Max Flow	Min Flow	Max Pressure	Min Pressure	Max Volume	Min Volume
Range=	20.000 L/s	5.000 mV	4.000 L	500.0000 BPM	100.0000 L/s	100.0000 L/s	100.0000 mmHg	100.0000 mmHg	100.0000 L	100.0000 L
UnitName=	*	mmHg	*	*	*	*	*	*	*	*
TopValue=	*	212.87	*	*	*	*	*	*	*	*
BottomValue=	*	-213.32	*	*	*	*	*	*	*	*
0	0.00751875	-0.06078862	7.522583e-005	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.01	0.01754375	-0.1473589	0.0002506409	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.02	0.02255625	0.005803885	0.0004762268	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.03	0.00751875	-0.03415162	0.0005513916	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.04	-0.01253125	-0.0008553647	0.0004260559	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.05	0	-0.02083312	-3.051758e-008	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.06	0.0150375	-0.08742562	0.0001503906	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.07	0.02005	0.03244089	0.0003508911	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.08	0.0150375	0.05907789	0.0005012207	NaN	NaN	NaN	0.05907789	-0.1207219	NaN	NaN
0.09	-0.0050125	0.01246314	0.0004511414	NaN	NaN	NaN	0.05907789	-0.1207219	NaN	NaN
0.1	-0.01253125	-0.08742562	0.0003258057	NaN	NaN	NaN	0.05907789	-0.1207219	NaN	NaN
0.11	0.010025	-0.04747012	0.0001002197	NaN	NaN	NaN	0.05907789	-0.1207219	NaN	NaN
0.12	0.02255625	-0.007514615	0.0003258057	NaN	NaN	NaN	0.05907789	-0.1207219	NaN	NaN
0.13	0.0250625	-0.0008553647	0.0005764771	NaN	NaN	NaN	0.05907789	-0.1207219	NaN	NaN
0.14	0	-0.02083312	0.0005764771	NaN	NaN	NaN	0.05907789	-0.1207219	NaN	NaN
0.15	-0.0150375	-0.06078862	0.0004260559	NaN	NaN	NaN	0.05907789	-0.1207219	NaN	NaN
0.16	0.010025	-0.06078862	0.0001002197	NaN	NaN	NaN	0.05907789	-0.1207219	NaN	NaN
0.17	0.02005	-0.1207219	0.0003007202	NaN	NaN	NaN	0.05907789	-0.1207219	NaN	NaN
0.18	0.0150375	-0.06744787	0.0004511414	NaN	NaN	NaN	0.05907789	-0.1207219	NaN	NaN
0.19	0.0150375	-0.02749237	0.0006014709	NaN	NaN	NaN	0.05907789	-0.1207219	NaN	NaN
0.2	-0.010025	0.03910014	0.0005012207	NaN	NaN	NaN	0.05241864	-0.1096231	NaN	NaN
0.21	0.0050125	-0.06744787	5.014038e-005	NaN	NaN	NaN	0.03910014	-0.08742562	NaN	NaN
0.22	0.02005	-0.08742562	0.0002506409	NaN	NaN	NaN	0.03910014	-0.08742562	NaN	NaN
