# This is based on https://github.com/RespiraWorks/VentilatorSoftware/blob/f426ea02efdd4b04b6fe720802c9cd23de6b0672/sample-data/2020-06-21-RunForRecord2-AIR-and-OXY/20200621-RunForRecord2-OXY/covent_pc_1.dat
# rearranged into the form GUI expects with a breath_id added using a shell script
# on the condition "pressure setpoint transitioned from non-5.000 to 5.000".
#
# covent_pc_1
# Captured 2020-06-21 05:14:27.386497 by unknown user
# Built at revision 050777a (dirty)
time(sec) pressure net_flow volume breath_id
0.000 5.667 -233.806 73.983 2
0.010 5.589 -232.729 71.650 2
0.020 5.479 -228.642 69.343 2
0.030 5.544 -219.585 67.103 2
0.040 5.453 -223.112 64.889 2
0.050 5.459 -225.080 62.648 2
0.060 5.443 -227.451 60.385 2
0.070 5.403 -224.689 58.125 2
0.080 5.459 -227.066 55.866 2
0.090 5.372 -224.952 53.606 2
0.100 5.340 -216.816 51.397 2
0.110 5.241 -212.850 49.249 2
0.120 5.209 -219.122 47.089 2
0.130 5.224 -218.032 44.903 2
0.140 5.121 -212.851 42.749 2
0.150 5.183 -217.641 40.596 2
0.160 5.078 -206.394 38.476 2
0.170 5.112 -207.432 36.407 2
0.180 5.013 -204.259 34.348 2
0.190 4.890 -188.934 32.383 2
0.200 4.881 -193.064 30.473 2
0.210 4.966 -200.847 28.503 2
0.220 5.014 -184.126 26.578 2
0.230 4.941 -189.755 24.709 2
0.240 4.828 -186.164 22.829 2
0.250 4.773 -177.953 21.009 2
0.260 4.800 -167.564 19.281 2
0.270 4.911 -164.983 17.618 2
0.280 4.850 -170.058 15.943 2
0.290 4.839 -152.767 14.329 2
0.300 4.853 -146.026 12.835 2
0.310 4.868 -151.495 11.348 2
0.320 4.824 -139.647 9.892 2
0.330 4.776 -138.906 8.499 2
0.340 4.839 -129.745 7.156 2
0.350 4.762 -121.917 5.898 2
0.360 4.778 -104.561 4.765 2
0.370 4.864 -96.848 3.758 2
0.380 4.864 -91.740 2.815 2
0.390 4.834 -88.066 1.916 2
0.400 4.864 -87.865 1.037 2
0.410 4.812 -72.820 0.233 2
0.420 4.839 -69.259 -0.477 2
0.430 4.733 -49.701 -1.072 2
0.440 4.863 -53.787 -1.589 2
0.450 4.813 -34.665 -2.032 2
0.460 4.864 -25.029 -2.330 2
0.470 4.814 -16.239 -2.537 2
0.480 4.870 -19.678 -2.716 2
0.490 4.772 -2.016 -2.825 2
0.500 4.830 -11.968 -2.895 2
0.510 4.921 -18.007 -3.044 2
0.520 4.939 13.056 -3.069 2
0.530 4.932 21.355 -2.897 2
0.540 4.832 28.026 -2.650 2
0.550 4.859 35.354 -2.333 2
0.560 4.990 22.594 -2.044 2
0.570 5.007 25.098 -1.805 2
0.580 4.931 35.143 -1.504 2
0.590 4.927 39.742 -1.129 2
0.600 4.933 42.930 -0.716 2
0.610 5.003 47.262 -0.265 2
0.620 5.030 27.312 0.108 2
0.630 5.022 38.174 0.435 2
0.640 4.981 51.492 0.884 2
0.650 5.113 29.207 1.287 2
0.660 5.040 64.270 1.754 2
0.670 5.007 42.953 2.290 2
0.680 5.044 60.336 2.807 2
0.690 5.101 42.437 3.321 2
0.700 5.042 53.053 3.798 2
0.710 5.056 35.270 4.240 2
0.720 5.166 19.866 4.516 2
0.730 5.088 51.663 4.873 2
0.740 5.081 37.665 5.320 2
0.750 5.152 37.799 5.697 2
0.760 5.179 38.079 6.076 2
0.770 5.051 40.032 6.467 2
0.780 5.166 32.938 6.832 2
0.790 5.369 90.225 7.448 2
0.800 5.790 135.646 8.577 2
0.810 6.349 245.873 10.484 2
0.820 7.039 341.991 13.424 2
0.830 7.326 392.624 17.097 2
0.840 7.944 442.848 21.274 2
0.850 7.994 526.403 26.120 2
0.860 8.502 537.180 31.438 2
0.870 8.907 604.599 37.147 2
0.880 10.045 695.416 43.647 2
0.890 9.936 725.510 50.752 2
0.900 9.819 766.194 58.210 2
0.910 10.193 664.044 65.364 2
0.920 9.994 800.073 72.682 2
0.930 10.102 692.127 80.143 2
0.940 10.245 702.424 87.116 2
0.950 10.724 709.213 94.174 2
0.960 11.179 661.740 101.029 2
0.970 10.802 742.566 108.049 2
0.980 11.290 634.041 114.932 2
0.990 10.968 882.934 122.519 2
1.000 11.520 728.504 130.574 2
1.010 11.667 685.920 137.647 2
1.020 11.667 705.529 144.604 2
1.030 11.755 748.242 151.873 2
1.040 11.727 813.316 159.680 2
