# Trace with new flow correction algorithm (check git log on this file, the
# flow correction algorithm was added in the same commit).
#
# Demonstrates moderate flow drift, which we correct.
#
# $ pio run -t upload && utils/controller_debug.py -c 'set gui_mode 1' && \
#   utils/controller_debug.py -c 'trace start volume uncorrected_volume flow_correction' && \
#   sleep 60 && \
#   utils/controller_debug.py -c 'trace graph'
#
# Note that the blower was hardcoded to 75% power for this experiment (so I
# didn't wake up my housemates).  I haven't observed that this makes a
# difference.

time(sec)	volume	uncorrected_volume	flow_correction
0.000	105.966	1133.254	-21.052
0.010	99.826	1127.325	-21.052
0.020	93.909	1121.618	-21.052
0.030	88.055	1115.975	-21.052
0.040	82.058	1110.188	-21.052
0.050	76.236	1104.577	-21.052
0.060	70.897	1099.448	-21.052
0.070	65.862	1094.624	-21.052
0.080	60.830	1089.802	-21.052
0.090	56.004	1085.187	-21.052
0.100	51.469	1080.862	-21.052
0.110	47.035	1076.639	-21.052
0.120	43.188	1073.002	-21.052
0.130	40.329	1070.353	-21.052
0.140	38.171	1068.406	-21.052
0.150	36.316	1066.761	-21.052
0.160	34.672	1065.328	-21.052
0.170	33.005	1063.871	-21.052
0.180	31.325	1062.402	-21.052
0.190	29.754	1061.042	-21.052
0.200	28.263	1059.762	-21.052
0.210	26.775	1058.484	-21.052
0.220	25.321	1057.241	-21.052
0.230	23.943	1056.073	-21.052
0.240	22.625	1054.965	-21.052
0.250	21.409	1053.960	-21.052
0.260	20.349	1053.111	-21.052
0.270	19.448	1052.421	-21.052
0.280	18.660	1051.843	-21.052
0.290	17.961	1051.354	-21.052
0.300	17.283	1050.886	-21.052
0.310	16.660	1050.474	-21.052
0.320	16.127	1050.152	-21.052
0.330	15.617	1049.852	-21.052
0.340	15.247	1049.693	-21.052
0.350	15.036	1049.693	-21.052
0.360	14.820	1049.687	-21.052
0.370	14.588	1049.665	-21.052
0.380	14.445	1049.733	-21.052
0.390	14.257	1049.756	-21.052
0.400	13.952	1049.661	-21.052
0.410	13.663	1049.583	-21.052
0.420	13.447	1049.578	-21.052
0.430	13.301	1049.642	-21.052
0.440	13.215	1049.766	-21.052
0.450	13.108	1049.870	-21.052
0.460	12.955	1049.927	-21.052
0.470	12.763	1049.945	-21.052
0.480	12.523	1049.917	-21.052
0.490	12.342	1049.946	-21.052
0.500	12.147	1049.961	-21.052
0.510	11.941	1049.966	-21.052
0.520	11.777	1050.012	-21.052
0.530	11.583	1050.029	-21.052
0.540	11.388	1050.044	-21.052
0.550	11.185	1050.051	-21.052
0.560	10.968	1050.045	-21.052
0.570	10.794	1050.082	-21.052
0.580	10.637	1050.135	-21.052
0.590	10.410	1050.119	-21.052
0.600	10.130	1050.049	-21.052
0.610	9.880	1050.010	-21.052
0.620	9.663	1050.003	-21.052
0.630	9.399	1049.950	-21.052
0.640	9.023	1049.784	-21.052
0.650	8.726	1049.698	-21.052
0.660	8.574	1049.757	-21.052
0.670	8.403	1049.796	-21.052
0.680	8.108	1049.711	-21.052
0.690	7.851	1049.665	-21.052
0.700	7.735	1049.760	-21.052
0.710	7.601	1049.836	-21.052
0.720	7.467	1049.913	-21.052
0.730	7.383	1050.039	-21.052
0.740	7.329	1050.195	-21.052
0.750	7.353	1050.430	-21.052
0.760	7.386	1050.673	-21.052
0.770	7.348	1050.847	-21.052
0.780	7.273	1050.982	-21.052
0.790	7.232	1051.151	-21.052
0.800	7.283	1051.413	-21.052
0.810	7.283	1051.623	-21.052
0.820	7.254	1051.806	-21.052
0.830	7.276	1052.037	-21.052
0.840	7.290	1052.262	-21.052
0.850	7.300	1052.483	-21.052
0.860	7.273	1052.666	-21.052
0.870	7.253	1052.856	-21.052
0.880	7.258	1053.073	-21.052
0.890	7.284	1053.309	-21.052
0.900	7.278	1053.514	-21.052
0.910	7.218	1053.664	-21.052
0.920	7.169	1053.825	-21.052
0.930	7.130	1053.996	-21.052
0.940	7.136	1054.213	-21.052
0.950	7.123	1054.411	-21.052
0.960	7.128	1054.627	-21.052
0.970	7.143	1054.852	-21.052
0.980	7.113	1055.032	-21.052
0.990	7.187	1055.317	-21.052
1.000	7.251	1055.592	-21.052
1.010	7.251	1055.802	-21.052
1.020	7.291	1056.053	-21.052
1.030	7.337	1056.309	-21.052
1.040	7.380	1056.562	-21.052
1.050	7.417	1056.810	-21.052
1.060	7.476	1057.080	-21.052
1.070	7.509	1057.323	-21.052
1.080	7.466	1057.491	-21.052
1.090	7.444	1057.680	-21.052
1.100	7.482	1057.927	-21.052
1.110	7.538	1058.194	-21.052
1.120	7.562	1058.429	-21.052
1.130	7.614	1058.691	-21.052
1.140	7.708	1058.996	-21.052
1.150	7.763	1059.262	-21.052
1.160	7.794	1059.503	-21.052
1.170	7.825	1059.744	-21.052
1.180	7.935	1060.065	-21.052
1.190	8.029	1060.369	-21.052
1.200	8.033	1060.584	-21.052
1.210	8.019	1060.780	-21.052
1.220	8.010	1060.981	-21.052
1.230	8.094	1061.276	-21.052
1.240	8.134	1061.527	-21.052
1.250	8.145	1061.749	-21.052
1.260	8.146	1061.960	-21.052
1.270	8.121	1062.146	-21.052
1.280	8.136	1062.371	-21.052
1.290	8.092	1062.538	-21.052
1.300	8.046	1062.702	-21.052
1.310	8.040	1062.907	-21.052
1.320	8.078	1063.155	-21.052
1.330	8.130	1063.417	-21.052
1.340	8.166	1063.664	-21.052
1.350	8.144	1063.853	-21.052
1.360	8.088	1064.007	-21.052
1.370	8.001	1064.131	-21.052
1.380	7.943	1064.283	-21.052
1.390	7.919	1064.470	-21.052
1.400	7.898	1064.660	-21.052
1.410	7.842	1064.814	-21.052
1.420	7.783	1064.965	-21.052
1.430	7.803	1065.196	-21.052
1.440	7.841	1065.444	-21.052
1.450	7.876	1065.690	-21.052
1.460	7.835	1065.860	-21.052
1.470	7.838	1066.073	-21.052
1.480	7.840	1066.286	-21.052
1.490	7.814	1066.470	-21.052
1.500	7.774	1066.640	-21.052
1.510	7.731	1066.808	-21.052
1.520	7.730	1067.017	-21.052
1.530	7.727	1067.225	-21.052
1.540	7.691	1067.400	-21.052
1.550	7.582	1067.501	-21.052
1.560	7.511	1067.641	-21.052
1.570	7.511	1067.851	-21.052
1.580	7.457	1068.008	-21.052
1.590	7.390	1068.151	-21.052
1.600	7.445	1068.418	-21.052
1.610	7.505	1068.688	-21.052
1.620	7.499	1068.892	-21.052
1.630	7.475	1069.079	-21.052
1.640	7.378	1069.193	-21.052
1.650	7.285	1069.310	-21.052
1.660	7.191	1069.426	-21.052
1.670	7.036	1069.481	-21.052
1.680	6.929	1069.585	-21.052
1.690	6.893	1069.760	-21.052
1.700	6.819	1069.896	-21.052
1.710	6.660	1069.948	-21.052
1.720	6.546	1070.044	-21.052
1.730	6.463	1070.172	-21.052
1.740	6.358	1070.278	-21.052
1.750	6.250	1070.380	-21.052
1.760	6.119	1070.459	-21.052
1.770	5.951	1070.502	-21.052
1.780	5.798	1070.559	-21.052
1.790	5.712	1070.684	-21.052
1.800	5.620	1070.803	-21.052
1.810	5.557	1070.950	-21.052
1.820	5.444	1071.047	-21.052
1.830	5.276	1071.090	-21.052
1.840	5.247	1071.271	-21.052
1.850	5.206	1071.441	-21.052
1.860	5.096	1071.541	-21.052
1.870	4.984	1071.640	-21.052
1.880	4.825	1071.692	-21.052
1.890	4.687	1071.764	-21.052
1.900	4.586	1071.873	-21.052
1.910	4.506	1072.004	-21.052
1.920	4.382	1072.090	-21.052
1.930	4.245	1072.164	-21.052
1.940	4.139	1072.268	-21.052
1.950	4.015	1072.355	-21.052
1.960	3.894	1072.444	-21.052
1.970	3.709	1072.470	-21.052
1.980	3.531	1072.503	-21.052
1.990	3.446	1072.628	-21.052
2.000	3.391	1072.784	-21.052
2.010	3.281	1072.884	-21.052
2.020	3.148	1072.961	-21.052
2.030	3.040	1073.064	-21.052
2.040	2.920	1073.154	-21.052
2.050	2.779	1073.224	-21.052
2.060	2.680	1073.336	-21.052
2.070	2.623	1073.489	-21.052
2.080	2.494	1073.571	-21.052
2.090	2.372	1073.659	-21.052
2.100	2.365	1073.863	-21.052
2.110	2.340	1074.048	-21.052
2.120	2.258	1074.177	-21.052
2.130	2.189	1074.318	-21.052
2.140	2.079	1074.419	-21.052
2.150	1.882	1074.432	-21.052
2.160	1.749	1074.511	-21.052
2.170	1.792	1074.763	-18.354
2.180	1.842	1075.011	-18.354
2.190	2.007	1075.360	-18.354
2.200	2.592	1076.128	-18.354
2.210	3.685	1077.404	-18.354
2.220	6.311	1080.214	-18.354
2.230	11.668	1085.755	-18.354
2.240	18.414	1092.684	-18.354
2.250	25.254	1099.708	-18.354
2.260	31.777	1106.414	-18.354
2.270	38.305	1113.126	-18.354
2.280	46.260	1121.265	-18.354
2.290	55.209	1130.397	-18.354
2.300	63.347	1138.718	-18.354
2.310	70.471	1146.025	-18.354
2.320	78.318	1154.056	-18.354
2.330	86.923	1162.845	-18.354
2.340	95.083	1171.189	-18.354
2.350	101.927	1178.217	-18.354
2.360	107.803	1184.276	-18.354
2.370	113.138	1189.794	-18.354
2.380	117.867	1194.706	-18.354
2.390	122.451	1199.474	-18.354
2.400	127.290	1204.497	-18.354
2.410	132.457	1209.848	-18.354
2.420	137.588	1215.162	-18.354
2.430	141.984	1219.741	-18.354
2.440	146.154	1224.095	-18.354
2.450	150.997	1229.122	-18.354
2.460	155.835	1234.143	-18.354
2.470	159.590	1238.081	-18.354
2.480	163.175	1241.850	-18.354
2.490	166.881	1245.740	-18.354
2.500	169.887	1248.929	-18.354
2.510	173.457	1252.683	-18.354
2.520	176.664	1256.073	-18.354
2.530	179.671	1259.264	-18.354
2.540	183.229	1263.005	-18.354
2.550	186.183	1266.143	-18.354
2.560	189.165	1269.308	-18.354
2.570	192.177	1272.504	-18.354
2.580	194.547	1275.057	-18.354
2.590	197.068	1277.762	-18.354
2.600	199.949	1280.826	-18.354
2.610	202.956	1284.017	-18.354
2.620	205.680	1286.924	-18.354
2.630	208.405	1289.833	-18.354
2.640	210.927	1292.539	-18.354
2.650	213.341	1295.136	-18.354
2.660	216.244	1298.223	-18.354
2.670	218.408	1300.570	-18.354
2.680	219.803	1302.148	-18.354
2.690	221.311	1303.840	-18.354
2.700	223.379	1306.092	-18.354
2.710	225.906	1308.802	-18.354
2.720	227.903	1310.983	-18.354
2.730	229.691	1312.954	-18.354
2.740	231.412	1314.859	-18.354
2.750	232.782	1316.412	-18.354
2.760	234.971	1318.785	-18.354
2.770	236.828	1320.825	-18.354
2.780	238.759	1322.940	-18.354
2.790	241.520	1325.885	-18.354
2.800	243.197	1327.745	-18.354
2.810	244.222	1328.953	-18.354
2.820	245.676	1330.591	-18.354
2.830	247.442	1332.541	-18.354
2.840	248.895	1334.177	-18.354
2.850	249.657	1335.122	-18.354
2.860	250.754	1336.404	-18.354
2.870	251.910	1337.743	-18.354
2.880	252.527	1338.544	-18.354
2.890	253.545	1339.745	-18.354
2.900	255.162	1341.545	-18.354
2.910	256.800	1343.367	-18.354
2.920	257.732	1344.482	-18.354
2.930	259.006	1345.940	-18.354
2.940	260.736	1347.854	-18.354
2.950	261.671	1348.972	-18.354
2.960	262.456	1349.940	-18.354
2.970	263.343	1351.011	-18.354
