# covent_pc_5
# Captured 2020-06-19 23:01:58.907327 by unknown user
# Built at revision b0450af (dirty)
time(sec)  pc_setpoint  pressure  volume
0.000  11.000  5.813  -7.246
0.010  12.500  7.411  -5.616
0.020  14.000  8.772  -2.880
0.030  15.500  9.121  1.525
0.040  17.000  12.117  7.161
0.050  18.500  14.248  13.509
0.060  20.000  16.165  20.689
0.070  20.000  17.664  28.698
0.080  20.000  18.975  37.672
0.090  20.000  20.762  46.758
0.100  20.000  22.187  55.238
0.110  20.000  22.578  63.746
0.120  20.000  22.718  72.885
0.130  20.000  22.709  81.599
0.140  20.000  22.250  89.480
0.150  20.000  21.608  97.468
0.160  20.000  22.104  105.030
0.170  20.000  21.473  112.110
0.180  20.000  20.681  119.170
0.190  20.000  21.370  125.694
0.200  20.000  20.380  131.994
0.210  20.000  20.755  138.043
0.220  20.000  19.839  143.329
0.230  20.000  18.559  148.168
0.240  20.000  17.342  152.503
0.250  20.000  17.163  156.672
0.260  20.000  18.266  161.392
0.270  20.000  19.987  167.025
0.280  20.000  20.027  173.011
0.290  20.000  20.742  178.709
0.300  20.000  20.953  184.190
0.310  20.000  20.858  189.717
0.320  20.000  19.537  195.293
0.330  20.000  20.172  200.523
0.340  20.000  20.547  205.234
0.350  20.000  20.085  209.745
0.360  20.000  20.516  214.451
0.370  20.000  20.458  218.946
0.380  20.000  20.497  223.240
0.390  20.000  20.349  227.515
0.400  20.000  20.252  231.554
0.410  20.000  19.911  235.232
0.420  20.000  20.874  238.691
0.430  20.000  20.282  242.157
0.440  20.000  20.735  245.289
0.450  20.000  20.342  248.167
0.460  20.000  20.511  251.115
0.470  20.000  20.188  254.072
0.480  20.000  20.839  257.003
0.490  20.000  20.346  259.801
0.500  20.000  20.331  262.437
0.510  20.000  20.615  264.742
0.520  20.000  20.597  266.810
0.530  20.000  20.249  268.905
0.540  20.000  19.975  270.993
0.550  20.000  19.748  272.991
0.560  20.000  20.505  274.693
0.570  20.000  20.667  276.205
0.580  20.000  20.148  277.788
0.590  20.000  20.354  279.356
0.600  20.000  20.200  281.011
0.610  20.000  20.526  282.678
0.620  20.000  20.673  284.088
0.630  20.000  20.938  285.389
0.640  20.000  20.497  286.777
0.650  20.000  20.408  287.988
0.660  20.000  20.356  288.952
0.670  20.000  20.174  289.780
0.680  20.000  20.203  290.464
0.690  20.000  20.673  291.079
0.700  20.000  20.192  291.598
0.710  20.000  19.854  292.010
0.720  20.000  19.813  292.378
0.730  20.000  20.541  292.634
0.740  20.000  20.562  292.846
0.750  20.000  20.084  292.902
0.760  20.000  19.686  292.827
0.770  20.000  20.023  292.880
0.780  20.000  20.705  292.759
0.790  20.000  20.158  292.495
0.800  20.000  20.050  292.136
0.810  20.000  19.674  291.866
0.820  20.000  20.045  291.746
0.830  20.000  20.207  291.459
0.840  20.000  19.970  291.084
0.850  20.000  20.164  290.679
0.860  20.000  19.498  290.476
0.870  20.000  19.877  290.526
0.880  20.000  19.723  290.516
0.890  20.000  20.333  290.300
0.900  20.000  19.939  289.943
0.910  20.000  19.951  289.623
0.920  20.000  19.823  289.326
0.930  20.000  19.656  289.149
0.940  20.000  20.086  289.211
0.950  20.000  19.865  289.320
0.960  20.000  20.055  289.409
0.970  5.000  19.327  289.525
0.980  5.000  19.189  289.350
0.990  5.000  16.235  287.669
1.000  5.000  13.349  284.242
1.010  5.000  12.305  278.474
1.020  5.000  11.521  272.254
1.030  5.000  11.222  266.345
1.040  5.000  10.835  260.060
1.050  5.000  10.541  253.954
1.060  5.000  10.313  247.803
1.070  5.000  10.067  241.924
1.080  5.000  9.932  236.127
1.090  5.000  9.814  230.589
1.100  5.000  9.635  224.980
1.110  5.000  9.477  219.499
1.120  5.000  9.333  214.370
1.130  5.000  9.104  209.205
1.140  5.000  8.951  203.919
1.150  5.000  8.763  198.809
1.160  5.000  8.589  193.421
1.170  5.000  8.418  188.083
1.180  5.000  8.156  182.827
1.190  5.000  8.099  177.225
1.200  5.000  7.908  171.659
1.210  5.000  7.771  166.537
1.220  5.000  7.696  161.360
1.230  5.000  7.456  156.100
1.240  5.000  7.218  151.459
1.250  5.000  7.071  146.598
1.260  5.000  6.959  141.464
1.270  5.000  6.815  136.803
1.280  5.000  6.613  131.983
1.290  5.000  6.468  126.911
1.300  5.000  6.368  122.333
1.310  5.000  6.217  117.784
1.320  5.000  6.066  113.049
1.330  5.000  6.033  108.769
1.340  5.000  5.753  104.456
1.350  5.000  5.707  100.215
1.360  5.000  5.542  95.931
1.370  5.000  5.467  91.727
1.380  5.000  5.271  87.654
1.390  5.000  5.296  83.505
1.400  5.000  5.088  79.398
1.410  5.000  5.012  74.934
1.420  5.000  4.785  70.977
1.430  5.000  4.731  67.059
1.440  5.000  4.599  63.037
1.450  5.000  4.563  59.449
1.460  5.000  4.330  56.080
1.470  5.000  4.375  52.753
1.480  5.000  4.371  49.111
1.490  5.000  4.265  45.232
1.500  5.000  4.210  41.654
1.510  5.000  4.095  38.514
1.520  5.000  4.010  35.553
1.530  5.000  3.919  32.269
1.540  5.000  3.820  29.020
1.550  5.000  3.845  26.218
1.560  5.000  3.785  23.360
1.570  5.000  3.737  20.671
1.580  5.000  3.698  17.678
1.590  5.000  3.626  14.680
1.600  5.000  3.664  12.192
1.610  5.000  3.701  9.854
1.620  5.000  3.739  7.656
1.630  5.000  3.779  5.445
1.640  5.000  3.759  3.425
1.650  5.000  3.687  1.493
1.660  5.000  3.579  -0.498
1.670  5.000  3.571  -2.460
1.680  5.000  3.528  -4.096
1.690  5.000  3.713  -5.480
1.700  5.000  3.907  -6.771
1.710  5.000  4.033  -8.027
1.720  5.000  4.115  -9.216
1.730  5.000  4.084  -10.064
1.740  5.000  3.954  -10.718
1.750  5.000  4.070  -11.682
1.760  5.000  4.057  -12.638
1.770  5.000  4.228  -13.052
1.780  5.000  4.370  -13.013
1.790  5.000  4.385  -12.613
1.800  5.000  4.408  -12.083
1.810  5.000  4.422  -11.424
1.820  5.000  4.308  -10.666
1.830  5.000  4.583  -9.986
1.840  5.000  4.615  -9.300
1.850  5.000  4.534  -8.470
1.860  5.000  4.584  -7.599
1.870  5.000  4.622  -6.794
1.880  5.000  4.566  -6.095
1.890  5.000  4.678  -5.493
1.900  5.000  4.811  -4.962
1.910  5.000  4.863  -4.360
1.920  5.000  4.841  -3.666
1.930  5.000  4.944  -2.997
1.940  5.000  5.017  -2.288
1.950  5.000  4.859  -1.235
1.960  5.000  5.102  -0.130
1.970  5.000  4.995  0.677
1.980  5.000  5.038  1.425
1.990  5.000  4.909  2.201
2.000  5.000  5.139  2.857
2.010  5.000  5.087  3.361
2.020  5.000  5.148  3.998
2.030  5.000  5.340  4.731
2.040  5.000  5.258  5.458
2.050  5.000  5.224  6.180
2.060  5.000  5.343  6.858
2.070  5.000  5.372  7.510
2.080  5.000  5.343  8.152
2.090  5.000  5.230  8.893
2.100  5.000  5.362  9.713
2.110  5.000  5.444  10.453
2.120  5.000  5.405  11.149
2.130  5.000  5.512  11.817
2.140  5.000  5.344  12.409
2.150  5.000  5.334  12.840
2.160  5.000  5.200  13.386
2.170  5.000  5.335  13.991
2.180  5.000  5.443  14.212
2.190  5.000  5.401  13.954
2.200  5.000  5.252  13.434
2.210  5.000  5.088  13.100
2.220  5.000  5.207  12.669
2.230  5.000  5.245  12.252
2.240  5.000  5.244  11.867
2.250  5.000  5.062  11.250
2.260  5.000  5.145  10.584
2.270  5.000  5.103  9.989
2.280  5.000  5.087  9.288
2.290  5.000  4.892  8.653
2.300  5.000  4.861  7.976
2.310  5.000  4.924  7.163
2.320  5.000  4.983  6.501
2.330  5.000  4.834  5.876
2.340  5.000  4.894  5.326
2.350  5.000  4.991  4.640
2.360  5.000  4.930  3.977
2.370  5.000  4.824  3.606
2.380  5.000  4.744  3.352
2.390  5.000  4.779  3.043
2.400  5.000  4.811  2.852
2.410  5.000  4.738  2.825
2.420  5.000  4.762  2.693
2.430  5.000  4.906  2.458
2.440  5.000  4.820  2.432
2.450  5.000  4.712  2.575
2.460  5.000  4.822  2.785
2.470  5.000  4.742  3.094
2.480  5.000  4.868  3.316
2.490  5.000  4.872  3.470
2.500  5.000  4.930  3.779
2.510  5.000  4.848  4.187
2.520  5.000  4.893  4.626
2.530  5.000  4.818  5.096
2.540  5.000  5.132  5.428
2.550  5.000  5.084  5.638
2.560  5.000  4.971  5.900
2.570  5.000  4.953  6.215
2.580  5.000  5.017  6.681
2.590  5.000  5.187  7.330
2.600  5.000  5.023  8.004
2.610  5.000  5.157  8.463
2.620  5.000  5.043  8.801
2.630  5.000  5.021  9.187
2.640  5.000  5.248  9.505
2.650  5.000  5.059  9.862
2.660  5.000  5.130  10.196
2.670  5.000  5.194  10.318
2.680  5.000  5.110  10.497
2.690  5.000  5.051  10.817
2.700  5.000  5.071  11.154
2.710  5.000  5.097  11.408
2.720  5.000  5.090  11.555
2.730  5.000  5.111  11.568
2.740  5.000  5.074  11.456
2.750  5.000  5.069  11.275
2.760  5.000  5.059  11.011
2.770  5.000  5.097  10.846
2.780  5.000  4.997  10.616
2.790  5.000  5.143  10.419
2.800  5.000  5.062  10.280
