# Captured 2020-06-21 11:16:28.481737 by unknown user
# Built at revision 7b9a516 (dirty)
time(sec)  pc_setpoint  pressure  pa_fast_avg  pa_slow_avg
0.000  5.000  4.904  12.092  39.419
0.010  5.000  5.051  12.092  39.419
0.020  5.000  5.073  12.092  39.419
0.030  5.000  4.974  12.092  39.419
0.040  5.000  4.991  12.092  39.419
0.050  5.000  4.979  12.092  39.419
0.060  5.000  4.903  12.092  39.419
0.070  5.000  4.889  12.092  39.419
0.080  5.000  4.932  12.092  39.419
0.090  5.000  4.891  12.092  39.419
0.100  5.000  4.913  12.092  39.419
0.110  5.000  4.860  12.092  39.419
0.120  5.000  4.852  12.092  39.419
0.130  5.000  4.801  12.092  39.419
0.140  5.000  4.839  12.092  39.419
0.150  5.000  4.812  12.092  39.419
0.160  5.000  4.793  12.092  39.419
0.170  5.000  4.831  12.092  39.419
0.180  5.000  4.912  12.092  39.419
0.190  5.000  4.910  9.889  39.035
0.200  5.000  4.931  9.889  39.035
0.210  5.000  4.900  9.889  39.035
0.220  5.000  4.899  10.020  38.751
0.230  5.000  4.874  10.395  38.482
0.240  5.000  4.878  13.554  38.359
0.250  5.000  4.879  14.317  38.149
0.260  5.000  4.972  14.868  37.938
0.270  5.000  4.935  19.627  37.946
0.280  5.000  4.978  23.321  37.947
0.290  5.000  4.947  28.083  38.039
0.300  5.000  5.072  30.127  38.042
0.310  5.000  5.099  33.512  38.132
0.320  5.000  5.079  37.511  38.286
0.330  5.000  5.052  33.982  38.101
0.340  5.000  5.104  33.074  38.015
0.350  5.000  5.193  29.949  37.809
0.360  5.000  5.049  31.336  37.800
0.370  5.000  5.114  31.400  37.738
0.380  5.000  5.180  33.129  37.761
0.390  5.000  5.184  31.626  37.640
0.400  5.000  5.287  26.749  37.336
0.410  5.000  5.196  23.906  37.088
0.420  5.000  5.191  21.020  36.812
0.430  5.000  5.159  20.680  36.637
0.440  5.000  5.146  19.013  36.394
0.450  5.000  5.215  15.639  36.052
0.460  5.000  5.219  15.639  36.052
0.470  5.000  5.257  15.639  36.052
0.480  5.000  5.138  15.639  36.052
0.490  5.000  5.147  15.639  36.052
0.500  5.000  5.053  15.639  36.052
0.510  5.000  5.128  15.639  36.052
0.520  5.000  5.096  15.639  36.052
0.530  5.000  5.042  15.639  36.052
0.540  5.000  5.054  15.639  36.052
0.550  5.000  5.106  15.639  36.052
0.560  5.000  5.049  15.639  36.052
0.570  5.000  4.984  15.639  36.052
0.580  5.000  5.007  15.639  36.052
0.590  5.000  5.027  15.639  36.052
0.600  5.000  5.013  15.639  36.052
0.610  5.000  4.978  15.639  36.052
0.620  5.000  4.825  15.639  36.052
0.630  5.000  4.867  15.639  36.052
0.640  5.000  4.854  15.639  36.052
0.650  5.000  4.867  15.639  36.052
0.660  5.000  4.840  15.639  36.052
0.670  5.000  4.794  15.639  36.052
0.680  5.000  4.833  15.639  36.052
0.690  5.000  4.802  15.639  36.052
0.700  5.000  4.783  15.639  36.052
0.710  5.000  4.801  15.639  36.052
0.720  5.000  4.844  15.639  36.052
0.730  5.000  4.886  15.639  36.052
0.740  5.000  4.956  15.639  36.052
0.750  5.000  4.887  15.639  36.052
0.760  5.000  4.834  13.221  35.726
0.770  5.000  4.813  11.225  35.402
0.780  5.000  4.862  10.007  35.099
0.790  5.000  4.898  10.731  34.884
0.800  5.000  4.934  12.116  34.712
0.810  5.000  4.929  16.527  34.707
0.820  5.000  4.938  18.782  34.638
0.830  5.000  4.929  19.969  34.538
0.840  5.000  4.982  20.926  34.440
0.850  5.000  4.945  24.345  34.476
0.860  5.000  4.966  25.934  34.454
0.870  5.000  5.111  23.128  34.229
0.880  5.000  5.040  25.119  34.217
0.890  5.000  5.143  23.168  34.029
0.900  5.000  5.059  26.914  34.108
0.910  5.000  5.052  30.900  34.235
0.920  5.000  5.064  32.997  34.306
0.930  5.000  5.105  33.651  34.326
0.940  5.000  5.227  29.805  34.127
0.950  5.000  5.141  28.268  34.007
0.960  5.000  5.137  26.993  33.886
0.970  5.000  5.111  27.994  33.867
0.980  5.000  5.238  27.457  33.781
0.990  5.000  5.290  26.865  33.689
1.000  5.000  5.281  25.063  33.530
1.010  5.000  5.184  20.537  33.219
1.020  5.000  5.124  16.500  32.890
1.030  5.000  5.116  16.500  32.890
1.040  5.000  5.209  16.500  32.890
1.050  5.000  5.247  16.500  32.890
1.060  5.000  5.182  16.500  32.890
1.070  5.000  5.124  16.500  32.890
1.080  5.000  5.163  16.500  32.890
1.090  5.000  5.095  16.500  32.890
1.100  5.000  5.127  16.500  32.890
1.110  5.000  5.024  16.500  32.890
1.120  5.000  5.066  16.500  32.890
1.130  5.000  5.021  16.500  32.890
1.140  5.000  5.084  16.500  32.890
1.150  5.000  5.026  16.500  32.890
1.160  5.000  5.042  16.500  32.890
1.170  5.000  4.949  16.500  32.890
1.180  5.000  4.864  16.500  32.890
1.190  5.000  4.947  16.500  32.890
1.200  5.000  4.955  16.500  32.890
1.210  5.000  4.949  16.500  32.890
1.220  5.000  4.878  16.500  32.890
1.230  5.000  4.843  16.500  32.890
1.240  5.000  4.848  16.500  32.890
1.250  5.000  4.849  16.500  32.890
1.260  5.000  4.771  16.500  32.890
1.270  5.000  4.804  16.500  32.890
1.280  5.000  4.782  16.500  32.890
1.290  5.000  4.763  16.500  32.890
1.300  5.000  4.826  16.500  32.890
1.310  5.000  4.828  16.500  32.890
1.320  5.000  4.786  16.500  32.890
1.330  5.000  4.815  13.308  32.567
1.340  5.000  4.877  13.387  32.378
1.350  5.000  4.855  11.929  32.116
1.360  5.000  4.876  10.566  31.846
1.370  5.000  4.888  10.350  31.622
1.380  5.000  4.922  10.458  31.415
1.390  5.000  4.897  13.655  31.365
1.400  5.000  4.900  18.424  31.426
1.410  5.000  5.036  21.306  31.440
1.420  5.000  5.002  21.091  31.328
1.430  5.000  4.986  25.820  31.462
1.440  5.000  4.960  29.086  31.569
1.450  5.000  4.893  31.652  31.673
1.460  5.000  5.073  32.043  31.692
1.470  5.000  5.037  31.908  31.689
1.480  5.000  5.030  33.409  31.766
1.490  5.000  5.094  31.832  31.704
1.500  5.000  5.167  33.784  31.803
1.510  5.000  5.195  32.367  31.751
1.520  5.000  5.203  32.839  31.781
1.530  5.000  5.196  31.959  31.748
1.540  5.000  5.166  31.941  31.749
1.550  5.000  5.200  31.633  31.736
1.560  5.000  5.178  33.522  31.829
1.570  5.000  5.213  33.835  31.862
1.580  5.000  5.221  32.889  31.834
1.590  5.000  5.253  27.590  31.580
1.600  5.000  5.166  24.637  31.392
1.610  5.000  5.256  24.637  31.392
1.620  5.000  5.193  24.637  31.392
1.630  5.000  5.214  24.637  31.392
1.640  5.000  5.105  24.637  31.392
1.650  5.000  5.109  24.637  31.392
1.660  5.000  5.216  24.637  31.392
1.670  5.000  5.138  24.637  31.392
1.680  5.000  5.066  24.637  31.392
1.690  5.000  5.041  24.637  31.392
1.700  5.000  5.106  24.637  31.392
1.710  5.000  5.086  24.637  31.392
1.720  5.000  5.108  24.637  31.392
1.730  5.000  5.037  24.637  31.392
1.740  5.000  4.997  24.637  31.392
1.750  5.000  4.908  24.637  31.392
1.760  5.000  4.812  24.637  31.392
1.770  5.000  4.819  24.637  31.392
1.780  5.000  4.880  24.637  31.392
1.790  5.000  4.853  24.637  31.392
1.800  5.000  4.844  24.637  31.392
1.810  5.000  4.858  24.637  31.392
1.820  5.000  4.799  24.637  31.392
1.830  5.000  4.786  24.637  31.392
1.840  5.000  4.736  24.637  31.392
1.850  5.000  4.774  24.637  31.392
1.860  5.000  4.770  24.637  31.392
1.870  5.000  4.787  24.637  31.392
1.880  5.000  4.780  24.637  31.392
1.890  5.000  4.785  19.762  31.081
1.900  5.000  4.799  16.168  30.788
1.910  5.000  4.887  14.481  30.557
1.920  5.000  4.800  16.793  30.512
1.930  5.000  4.759  17.840  30.427
1.940  5.000  4.898  18.925  30.356
1.950  5.000  4.961  22.150  30.403
1.960  5.000  4.918  28.953  30.660
1.970  5.000  4.907  31.609  30.776
1.980  5.000  4.928  33.215  30.865
1.990  5.000  4.992  34.111  30.933
2.000  5.000  5.037  37.008  31.110
2.010  5.000  5.132  35.755  31.106
2.020  5.000  5.064  37.645  31.247
2.030  5.000  5.106  36.580  31.258
2.040  5.000  5.044  36.942  31.329
2.050  5.000  5.075  40.137  31.545
2.060  5.000  5.165  41.173  31.683
2.070  5.000  5.105  43.506  31.894
2.080  5.000  5.232  39.844  31.827
2.090  5.000  5.171  40.721  31.951
2.100  5.000  5.253  40.188  32.012
2.110  5.000  5.297  39.701  32.070
2.120  5.000  5.300  36.810  32.001
2.130  5.000  5.224  31.879  31.803
2.140  5.000  5.093  27.735  31.596
2.150  5.000  5.187  23.336  31.338
2.160  5.000  5.261  23.336  31.338
2.170  5.000  5.319  18.749  31.029
2.180  5.000  5.230  18.749  31.029
2.190  5.000  5.149  18.749  31.029
2.200  5.000  5.138  18.749  31.029
2.210  5.000  5.233  18.749  31.029
2.220  5.000  5.226  18.749  31.029
2.230  5.000  5.173  18.749  31.029
2.240  5.000  5.100  18.749  31.029
2.250  5.000  5.023  18.749  31.029
2.260  5.000  5.044  18.749  31.029
2.270  5.000  5.032  18.749  31.029
2.280  5.000  5.044  18.749  31.029
2.290  5.000  4.934  18.749  31.029
2.300  5.000  4.924  18.749  31.029
2.310  5.000  4.894  18.749  31.029
2.320  5.000  4.943  18.749  31.029
2.330  5.000  4.925  18.749  31.029
2.340  5.000  4.811  18.749  31.029
2.350  5.000  4.817  18.749  31.029
2.360  5.000  4.702  0.000  0.000
2.370  7.500  4.735  0.000  0.000
2.380  10.000  4.781  0.000  0.000
2.390  12.500  5.446  0.000  0.000
2.400  15.000  7.450  0.000  0.000
2.410  17.500  9.332  0.000  0.000
2.420  20.000  10.472  0.000  0.000
2.430  22.501  12.031  0.000  0.000
2.440  25.000  13.422  0.000  0.000
2.450  27.500  14.445  0.000  0.000
2.460  30.000  15.383  0.000  0.000
2.470  30.000  16.351  0.000  0.000
2.480  30.000  16.499  0.000  0.000
2.490  30.000  17.039  0.000  0.000
2.500  30.000  17.691  0.000  0.000
