# Captured 2020-06-21 06:10:07.683769 by unknown user
# Built at revision a5513db (dirty)
time(sec)  pc_setpoint  pressure  net_flow  net_flow
0.000  0.000  0.053  -5.180  -5.180
0.010  0.000  0.053  0.467  0.467
0.020  0.000  0.042  11.098  11.098
0.030  0.000  0.060  -1.072  -1.072
0.040  10.000  0.047  3.766  3.766
0.050  12.500  0.051  41.110  41.110
0.060  15.000  0.049  72.866  72.866
0.070  17.500  0.061  874.803  874.803
0.080  20.000  -5.509  1411.817  1411.817
0.090  22.500  4.546  350.490  350.490
0.100  25.000  5.579  222.149  222.149
0.110  27.500  5.273  298.321  298.321
0.120  30.000  4.435  396.527  396.527
0.130  32.500  5.341  406.512  406.512
0.140  35.000  8.062  636.820  636.820
0.150  35.000  10.202  665.406  665.406
0.160  35.000  11.093  688.401  688.401
0.170  35.000  12.462  667.686  667.686
0.180  35.000  12.915  659.302  659.302
0.190  35.000  13.586  724.797  724.797
0.200  35.000  14.138  666.833  666.833
0.210  35.000  14.315  968.718  968.718
0.220  35.000  14.927  739.946  739.946
0.230  35.000  15.535  686.980  686.980
0.240  35.000  15.732  714.664  714.664
0.250  35.000  16.265  654.351  654.351
0.260  35.000  16.595  680.842  680.842
0.270  35.000  16.926  706.873  706.873
0.280  35.000  17.734  574.945  574.945
0.290  35.000  17.489  751.753  751.753
0.300  35.000  17.986  742.872  742.872
0.310  35.000  18.229  651.037  651.037
0.320  35.000  18.967  660.169  660.169
0.330  35.000  19.133  664.895  664.895
0.340  35.000  19.267  723.138  723.138
0.350  35.000  19.891  661.134  661.134
0.360  35.000  20.154  666.026  666.026
0.370  35.000  20.076  678.282  678.282
0.380  35.000  21.136  646.192  646.192
0.390  35.000  21.100  664.449  664.449
0.400  35.000  21.501  680.676  680.676
0.410  35.000  21.409  668.450  668.450
0.420  35.000  22.236  630.848  630.848
0.430  35.000  22.282  680.926  680.926
0.440  35.000  21.982  857.041  857.041
0.450  35.000  23.416  583.677  583.677
0.460  35.000  23.054  771.854  771.854
0.470  35.000  23.347  889.564  889.564
0.480  35.000  23.839  737.165  737.165
0.490  35.000  24.491  702.215  702.215
0.500  35.000  24.041  826.078  826.078
0.510  35.000  25.205  615.372  615.372
0.520  35.000  25.390  616.305  616.305
0.530  35.000  25.228  738.127  738.127
0.540  35.000  26.079  645.604  645.604
0.550  35.000  25.741  674.641  674.641
0.560  35.000  26.535  686.803  686.803
0.570  35.000  26.856  644.334  644.334
0.580  35.000  27.246  624.516  624.516
0.590  35.000  27.986  641.516  641.516
0.600  35.000  27.886  685.268  685.268
0.610  35.000  28.285  709.177  709.177
0.620  35.000  28.800  644.343  644.343
0.630  35.000  29.194  675.298  675.298
0.640  35.000  29.282  627.951  627.951
0.650  35.000  29.289  727.518  727.518
0.660  35.000  29.765  598.641  598.641
0.670  35.000  29.911  651.798  651.798
0.680  35.000  30.546  599.148  599.148
0.690  35.000  30.557  651.994  651.994
0.700  35.000  31.302  608.906  608.906
0.710  35.000  30.987  647.919  647.919
0.720  35.000  31.413  659.985  659.985
0.730  35.000  31.827  662.587  662.587
0.740  35.000  32.324  617.139  617.139
0.750  35.000  32.374  658.487  658.487
0.760  35.000  32.054  703.896  703.896
0.770  35.000  33.646  549.999  549.999
0.780  35.000  33.385  610.494  610.494
0.790  35.000  33.740  653.834  653.834
0.800  35.000  34.074  603.689  603.689
0.810  35.000  34.356  570.880  570.880
0.820  35.000  34.918  615.595  615.595
0.830  35.000  34.790  675.920  675.920
0.840  35.000  34.682  674.709  674.709
0.850  35.000  35.566  557.798  557.798
0.860  35.000  35.235  688.306  688.306
0.870  35.000  36.474  570.955  570.955
0.880  35.000  35.168  655.349  655.349
0.890  35.000  36.419  564.161  564.161
0.900  35.000  35.753  657.004  657.004
0.910  35.000  36.878  553.361  553.361
0.920  35.000  35.976  587.982  587.982
0.930  35.000  35.966  508.550  508.550
0.940  35.000  35.106  494.669  494.669
0.950  35.000  34.899  436.250  436.250
0.960  35.000  35.559  460.883  460.883
0.970  35.000  35.375  424.387  424.387
0.980  35.000  34.814  481.132  481.132
0.990  35.000  35.763  453.275  453.275
1.000  35.000  35.485  409.873  409.873
1.010  35.000  35.505  480.147  480.147
1.020  35.000  35.379  462.550  462.550
1.030  35.000  36.289  394.918  394.918
1.040  35.000  36.034  462.938  462.938
1.050  10.000  35.812  455.982  455.982
1.060  10.000  35.077  -137.311  -137.311
1.070  10.000  27.662  -954.105  -954.105
1.080  10.000  20.414  -512.896  -512.896
1.090  10.000  20.831  -963.316  -963.316
1.100  10.000  19.072  -656.036  -656.036
1.110  10.000  18.888  -746.071  -746.071
1.120  10.000  18.181  -761.127  -761.127
1.130  10.000  17.809  -682.458  -682.458
1.140  10.000  17.570  -703.194  -703.194
1.150  10.000  17.271  -673.434  -673.434
1.160  10.000  17.037  -717.842  -717.842
1.170  10.000  16.602  -641.697  -641.697
1.180  10.000  16.414  -669.869  -669.869
1.190  10.000  16.174  -682.159  -682.159
1.200  10.000  15.943  -654.924  -654.924
1.210  10.000  15.801  -670.144  -670.144
1.220  10.000  15.466  -643.687  -643.687
1.230  10.000  15.073  -712.623  -712.623
1.240  10.000  14.663  -704.333  -704.333
1.250  10.000  14.306  -613.765  -613.765
1.260  10.000  14.103  -750.260  -750.260
1.270  10.000  13.778  -598.821  -598.821
1.280  10.000  13.416  -664.536  -664.536
1.290  10.000  13.192  -588.054  -588.054
1.300  10.000  12.917  -688.195  -688.195
1.310  10.000  12.833  -698.775  -698.775
1.320  10.000  12.596  -509.864  -509.864
1.330  10.000  12.417  -591.991  -591.991
1.340  10.000  12.187  -660.295  -660.295
1.350  10.000  11.870  -639.788  -639.788
1.360  10.000  11.805  -524.299  -524.299
1.370  10.000  11.757  -519.083  -519.083
1.380  10.000  11.703  -681.386  -681.386
1.390  10.000  11.593  -530.562  -530.562
1.400  10.000  11.419  -568.561  -568.561
1.410  10.000  11.343  -527.818  -527.818
1.420  10.000  11.166  -535.098  -535.098
1.430  10.000  10.993  -534.958  -534.958
1.440  10.000  10.822  -530.441  -530.441
1.450  10.000  10.580  -516.455  -516.455
1.460  10.000  10.457  -526.895  -526.895
1.470  10.000  10.238  -531.327  -531.327
1.480  10.000  10.034  -597.118  -597.118
1.490  10.000  9.880  -486.813  -486.813
1.500  10.000  9.662  -562.025  -562.025
1.510  10.000  9.573  -502.317  -502.317
1.520  10.000  9.402  -525.874  -525.874
1.530  10.000  9.199  -480.522  -480.522
1.540  10.000  9.119  -490.898  -490.898
1.550  10.000  9.122  -460.890  -460.890
1.560  10.000  9.073  -469.006  -469.006
1.570  10.000  9.053  -424.229  -424.229
1.580  10.000  9.087  -442.022  -442.022
1.590  10.000  9.085  -409.497  -409.497
1.600  10.000  9.025  -415.466  -415.466
1.610  10.000  9.501  -440.169  -440.169
1.620  10.000  8.984  -329.013  -329.013
1.630  10.000  9.093  -321.734  -321.734
1.640  10.000  9.487  -294.717  -294.717
1.650  10.000  9.700  -274.245  -274.245
1.660  10.000  9.819  -281.149  -281.149
1.670  10.000  9.832  -285.237  -285.237
1.680  10.000  9.749  -261.336  -261.336
1.690  10.000  9.735  -251.265  -251.265
1.700  10.000  9.796  -243.609  -243.609
1.710  10.000  9.880  -218.599  -218.599
1.720  10.000  10.025  -224.325  -224.325
1.730  10.000  10.022  -221.289  -221.289
1.740  10.000  9.927  -203.863  -203.863
1.750  10.000  9.793  -201.503  -201.503
1.760  10.000  9.911  -198.618  -198.618
1.770  10.000  9.813  -180.160  -180.160
1.780  10.000  9.867  -170.715  -170.715
1.790  10.000  9.926  -168.949  -168.949
1.800  10.000  9.981  -159.074  -159.074
1.810  10.000  9.953  -155.488  -155.488
1.820  10.000  9.853  -138.706  -138.706
1.830  10.000  9.883  -140.207  -140.207
1.840  10.000  9.849  -128.733  -128.733
1.850  10.000  9.969  -120.281  -120.281
1.860  10.000  9.917  -103.294  -103.294
1.870  10.000  9.987  -106.427  -106.427
1.880  10.000  9.935  -96.157  -96.157
1.890  10.000  9.926  -89.885  -89.885
1.900  10.000  9.916  -90.556  -90.556
1.910  10.000  9.869  -70.650  -70.650
1.920  10.000  9.924  -66.853  -66.853
1.930  10.000  9.915  -50.340  -50.340
1.940  10.000  9.929  -55.466  -55.466
1.950  10.000  9.956  -55.336  -55.336
1.960  10.000  9.951  -44.610  -44.610
1.970  10.000  9.986  -42.981  -42.981
1.980  10.000  9.924  -25.014  -25.014
1.990  10.000  9.970  -26.065  -26.065
2.000  10.000  9.923  -20.029  -20.029
2.010  10.000  10.024  -31.198  -31.198
2.020  10.000  9.917  -16.653  -16.653
2.030  10.000  10.002  -22.719  -22.719
2.040  10.000  9.842  -2.955  -2.955
2.050  10.000  9.960  -3.651  -3.651
2.060  10.000  9.906  8.112  8.112
2.070  10.000  9.952  20.942  20.942
2.080  10.000  9.922  12.733  12.733
2.090  10.000  9.957  24.008  24.008
2.100  10.000  10.028  7.452  7.452
2.110  10.000  10.099  21.106  21.106
2.120  10.000  10.015  34.828  34.828
2.130  10.000  10.123  35.420  35.420
2.140  10.000  9.981  38.793  38.793
2.150  10.000  10.051  29.425  29.425
2.160  10.000  10.141  37.275  37.275
2.170  10.000  10.085  38.729  38.729
2.180  10.000  10.053  28.659  28.659
2.190  10.000  10.073  23.461  23.461
2.200  10.000  10.126  28.955  28.955
2.210  10.000  10.183  26.392  26.392
2.220  10.000  10.204  24.071  24.071
2.230  10.000  10.130  25.709  25.709
2.240  10.000  10.110  35.909  35.909
2.250  10.000  10.037  20.459  20.459
2.260  10.000  10.207  18.388  18.388
2.270  10.000  10.233  17.680  17.680
