# covent_pc_7
# Captured 2020-06-21 05:21:40.929939 by unknown user
# Built at revision 050777a (dirty)
time(sec)  pc_setpoint  pressure  volume  net_flow
0.000  5.000  4.993  1.846  -11.759
0.010  5.000  5.006  1.689  -19.807
0.020  5.000  4.935  1.525  -12.966
0.030  5.000  4.961  1.343  -23.412
0.040  5.000  5.057  1.216  -1.982
0.050  5.000  4.952  1.169  -7.310
0.060  5.000  4.945  1.129  -0.702
0.070  5.000  4.864  1.017  -21.713
0.080  5.000  5.086  0.908  -0.182
0.090  5.000  4.959  0.852  -10.938
0.100  5.000  5.020  0.714  -16.762
0.110  5.000  4.989  0.566  -12.807
0.120  5.000  5.008  0.473  -5.845
0.130  5.000  4.916  0.498  10.881
0.140  5.000  5.083  0.444  -21.708
0.150  5.000  5.052  0.271  -12.808
0.160  5.000  4.989  0.155  -10.366
0.170  5.000  5.033  0.096  -1.377
0.180  5.000  4.975  0.093  0.757
0.190  5.000  5.046  0.061  -7.258
0.200  5.000  5.068  0.024  -0.098
0.210  5.000  5.040  -0.061  -16.849
0.220  5.000  4.964  -0.078  13.328
0.230  5.000  5.028  -0.032  -4.106
0.240  5.000  4.988  -0.074  -4.266
0.250  5.000  5.003  -0.100  -1.008
0.260  5.000  5.014  -0.168  -12.458
0.270  5.000  5.052  -0.383  -30.636
0.280  5.000  5.060  -0.622  -17.213
0.290  5.000  5.057  -0.806  -19.552
0.300  5.000  5.002  -0.896  1.689
0.310  5.000  4.960  -0.910  -4.568
0.320  5.000  4.968  -0.944  -2.258
0.330  5.000  5.111  -1.021  -13.047
0.340  5.000  5.040  -1.043  8.609
0.350  5.000  5.034  -1.044  -8.909
0.360  5.000  4.945  -1.088  0.212
0.370  5.000  5.094  -1.133  -9.237
0.380  5.000  5.052  -1.199  -3.921
0.390  5.000  5.014  -1.244  -5.066
0.400  5.000  5.057  -1.356  -17.448
0.410  5.000  5.007  -1.542  -19.631
0.420  5.000  5.001  -1.629  2.053
0.430  5.000  4.951  -1.651  -6.321
0.440  5.000  5.101  -1.682  0.161
0.450  5.000  5.060  -1.672  1.772
0.460  5.000  4.935  -1.711  -9.536
0.470  5.000  5.054  -1.795  -7.347
0.480  8.001  5.066  -1.895  -12.590
0.490  11.000  5.209  -1.537  84.212
0.500  14.000  5.644  0.173  257.672
0.510  17.000  7.849  3.112  330.278
0.520  20.001  10.261  6.760  399.136
0.530  23.000  12.299  11.038  456.749
0.540  26.000  15.105  15.856  506.766
0.550  29.000  18.208  21.406  603.180
0.560  32.000  20.008  27.720  659.713
0.570  35.000  22.982  33.981  592.388
0.580  35.000  24.864  39.842  579.804
0.590  35.000  26.560  45.838  619.399
0.600  35.000  27.835  51.920  596.807
0.610  35.000  29.281  57.652  549.883
0.620  35.000  29.979  63.542  628.134
0.630  35.000  31.129  69.416  546.652
0.640  35.000  32.187  75.160  602.204
0.650  35.000  33.130  81.184  602.725
0.660  35.000  34.128  86.727  505.867
0.670  35.000  34.398  92.296  607.836
0.680  35.000  35.096  98.325  597.994
0.690  35.000  36.066  104.250  586.689
0.700  35.000  35.431  110.456  654.742
0.710  35.000  36.449  116.526  559.357
0.720  35.000  36.793  122.079  551.319
0.730  35.000  37.479  127.371  507.012
0.740  35.000  36.346  132.298  478.455
0.750  35.000  35.573  136.727  407.289
0.760  35.000  35.577  140.506  348.526
0.770  35.000  34.802  144.279  405.952
0.780  35.000  34.134  148.265  391.294
0.790  35.000  34.173  152.161  387.740
0.800  35.000  34.429  156.094  399.148
0.810  35.000  34.808  160.146  411.196
0.820  35.000  35.347  164.299  419.397
0.830  35.000  35.199  168.724  465.598
0.840  35.000  35.271  173.275  444.585
0.850  35.000  36.149  177.433  387.015
0.860  35.000  35.422  181.488  424.153
0.870  35.000  36.046  185.358  349.742
0.880  35.000  35.819  189.129  404.414
0.890  35.000  35.855  193.052  380.255
0.900  35.000  36.460  196.836  376.609
0.910  35.000  36.110  200.534  362.963
0.920  35.000  35.896  204.207  371.633
0.930  35.000  35.923  207.589  304.770
0.940  35.000  35.962  210.531  283.462
0.950  35.000  35.459  213.315  273.592
0.960  35.000  34.754  216.137  290.783
0.970  35.000  35.100  218.895  260.813
0.980  35.000  35.015  221.486  257.385
0.990  35.000  35.447  223.923  229.976
1.000  35.000  34.725  226.545  294.357
1.010  35.000  35.190  229.216  239.869
1.020  35.000  34.980  231.770  270.908
1.030  35.000  34.894  234.427  260.442
1.040  35.000  35.510  236.774  209.039
1.050  35.000  35.132  239.181  272.434
1.060  35.000  35.354  241.718  234.861
1.070  35.000  35.226  244.306  282.775
1.080  35.000  35.351  246.932  242.406
1.090  35.000  35.612  249.224  216.017
1.100  35.000  35.140  251.591  257.484
1.110  35.000  35.355  253.869  197.973
1.120  35.000  35.416  255.889  206.138
1.130  35.000  35.426  257.835  183.084
1.140  35.000  35.574  259.853  220.377
1.150  35.000  35.648  262.157  240.460
1.160  35.000  35.816  264.353  198.759
1.170  35.000  35.785  266.183  167.375
1.180  35.000  36.314  268.085  212.885
1.190  35.000  35.650  269.993  168.794
1.200  35.000  35.427  271.495  131.540
1.210  35.000  35.060  272.808  131.156
1.220  35.000  35.128  274.124  131.950
1.230  35.000  34.761  275.330  109.261
1.240  35.000  35.723  276.209  66.488
1.250  35.000  34.690  277.171  125.912
1.260  35.000  35.130  278.277  95.436
1.270  35.000  35.093  278.950  39.122
1.280  35.000  35.407  279.546  80.150
1.290  35.000  34.649  280.259  62.333
1.300  35.000  35.897  280.741  34.208
1.310  35.000  34.546  281.394  96.246
1.320  35.000  35.366  282.133  51.677
1.330  35.000  34.837  282.749  71.469
1.340  35.000  35.012  283.348  48.352
1.350  35.000  35.074  283.895  61.081
1.360  35.000  34.750  284.491  58.044
1.370  35.000  34.982  285.122  68.183
1.380  35.000  35.040  285.827  72.715
1.390  35.000  35.426  286.359  33.831
1.400  35.000  35.031  286.765  47.394
1.410  35.000  35.161  287.223  44.120
1.420  35.000  35.197  287.668  44.833
1.430  35.000  35.221  288.061  33.914
1.440  35.000  35.066  288.424  38.497
1.450  35.000  34.980  288.688  14.415
1.460  35.000  34.941  288.980  43.932
1.470  35.000  35.216  289.313  22.646
1.480  5.000  35.155  289.677  50.125
1.490  5.000  34.328  287.964  -392.618
1.500  5.000  29.005  279.889  -1222.362
1.510  5.000  22.586  271.349  -485.759
1.520  5.000  20.931  265.643  -655.107
1.530  5.000  18.176  259.405  -592.658
1.540  5.000  17.269  253.716  -545.308
1.550  5.000  16.124  248.356  -526.653
1.560  5.000  15.444  243.121  -520.457
1.570  5.000  14.872  238.017  -500.131
1.580  5.000  14.376  233.074  -488.378
1.590  5.000  13.865  228.235  -479.681
1.600  5.000  13.516  223.423  -482.709
1.610  5.000  13.202  218.714  -459.162
1.620  5.000  12.839  214.097  -464.171
1.630  5.000  12.666  209.489  -457.499
1.640  5.000  12.422  204.986  -443.127
1.650  5.000  12.139  200.535  -447.046
1.660  5.000  11.914  196.128  -434.293
1.670  5.000  11.710  191.804  -430.578
1.680  5.000  11.494  187.551  -419.968
1.690  5.000  11.257  183.340  -422.324
1.700  5.000  11.039  179.199  -405.814
1.710  5.000  10.821  175.118  -410.488
1.720  5.000  10.586  171.084  -396.335
1.730  5.000  10.434  167.167  -387.107
1.740  5.000  10.274  163.249  -396.523
1.750  5.000  10.113  159.358  -381.512
1.760  5.000  9.938  155.534  -383.398
1.770  5.000  9.837  151.702  -383.008
1.780  5.000  9.650  147.893  -378.817
1.790  5.000  9.526  144.188  -362.164
1.800  5.000  9.260  140.590  -357.359
1.810  5.000  9.123  137.040  -352.765
1.820  5.000  9.033  133.522  -350.541
1.830  5.000  8.867  130.026  -348.904
1.840  5.000  8.764  126.558  -344.741
1.850  5.000  8.542  123.174  -332.061
1.860  5.000  8.425  119.847  -333.326
1.870  5.000  8.344  116.538  -328.544
1.880  5.000  8.121  113.268  -325.423
1.890  5.000  8.001  110.046  -318.885
1.900  5.000  7.858  106.857  -319.018
1.910  5.000  7.708  103.749  -302.492
1.920  5.000  7.534  100.705  -306.368
1.930  5.000  7.403  97.629  -308.772
1.940  5.000  7.289  94.623  -292.543
1.950  5.000  7.173  91.769  -278.124
1.960  5.000  7.056  88.967  -282.247
1.970  5.000  7.038  86.108  -289.629
1.980  5.000  6.794  83.247  -282.614
1.990  5.000  6.733  80.437  -279.328
2.000  5.000  6.620  77.683  -271.609
2.010  5.000  6.462  75.009  -263.058
2.020  5.000  6.357  72.386  -261.658
2.030  5.000  6.269  69.774  -260.696
2.040  5.000  6.140  67.247  -244.658
2.050  5.000  6.026  64.791  -246.514
2.060  5.000  5.878  62.343  -243.098
2.070  5.000  5.803  59.922  -241.220
2.080  5.000  5.689  57.522  -238.653
2.090  5.000  5.618  55.158  -234.124
2.100  5.000  5.502  52.869  -223.823
2.110  5.000  5.377  50.624  -225.176
2.120  5.000  5.285  48.412  -217.225
2.130  5.000  5.185  46.236  -217.789
2.140  5.000  5.085  44.104  -208.829
2.150  5.000  5.016  42.035  -205.016
2.160  5.000  4.856  40.023  -197.305
2.170  5.000  4.774  38.038  -199.746
2.180  5.000  4.763  36.077  -192.350
2.190  5.000  4.694  34.163  -190.470
2.200  5.000  4.603  32.347  -172.745
2.210  5.000  4.542  30.692  -158.318
2.220  5.000  4.555  29.139  -152.243
2.230  5.000  4.672  27.673  -140.873
2.240  5.000  4.762  26.253  -143.222
2.250  5.000  4.840  24.885  -130.329
2.260  5.000  4.903  23.611  -124.583
2.270  5.000  4.914  22.342  -129.152
2.280  5.000  4.929  21.093  -120.755
2.290  5.000  4.911  19.946  -108.464
