# covent_pc_1
# Captured 2020-07-03 20:38:13.786288 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
0.000 5.000 1.066 0.049 4.039 0.050 0.600 0.000
0.010 5.000 1.066 -0.006 4.102 0.050 0.600 0.000
0.020 5.000 1.060 -0.012 4.180 0.050 0.600 0.000
0.030 5.000 1.066 0.052 4.178 0.050 0.600 0.000
0.040 5.000 1.037 0.046 4.040 0.050 0.600 0.000
0.050 5.000 1.022 0.019 3.982 0.050 0.600 0.000
0.060 5.000 1.019 0.005 3.890 0.050 0.600 0.000
0.070 5.000 1.024 0.066 4.013 0.050 0.600 0.000
0.080 5.000 1.022 -0.051 4.067 0.050 0.600 0.000
0.090 5.000 0.988 0.059 3.893 0.050 0.600 0.000
0.100 5.000 0.975 -0.005 3.806 0.050 0.600 0.000
0.110 5.000 0.976 0.064 3.826 0.050 0.600 0.000
0.120 5.000 0.972 0.069 3.751 0.050 0.600 0.000
0.130 5.000 0.955 0.080 3.649 0.050 0.600 0.000
0.140 5.000 0.952 0.021 3.677 0.050 0.600 0.000
0.150 5.000 0.931 0.041 3.624 0.050 0.600 0.000
0.160 5.000 0.938 0.030 3.692 0.050 0.600 0.000
0.170 5.000 0.922 0.062 3.506 0.050 0.600 0.000
0.180 5.000 0.916 0.028 3.595 0.050 0.600 0.000
0.190 5.000 0.911 0.066 3.546 0.050 0.600 0.000
0.200 5.000 0.897 -0.030 3.470 0.050 0.600 0.000
0.210 5.000 0.902 0.059 3.618 0.050 0.600 0.000
0.220 5.000 0.886 0.019 3.422 0.050 0.600 0.000
0.230 5.000 0.871 0.037 3.397 0.050 0.600 0.000
0.240 5.000 0.873 0.059 3.436 0.050 0.600 0.000
0.250 5.000 0.872 0.046 3.471 0.050 0.600 0.000
0.260 5.000 0.853 -0.007 3.350 0.050 0.600 0.000
0.270 5.000 0.842 0.058 3.277 0.050 0.600 0.000
0.280 5.000 0.831 0.020 3.220 0.050 0.600 0.000
0.290 5.000 0.840 0.020 3.247 0.050 0.600 0.000
0.300 5.000 0.829 0.062 3.242 0.050 0.600 0.000
0.310 5.000 0.823 0.032 3.197 0.050 0.600 0.000
0.320 5.000 0.808 0.071 3.095 0.050 0.600 0.000
0.330 5.000 0.799 0.001 3.063 0.050 0.600 0.000
0.340 5.000 0.786 0.069 3.001 0.050 0.600 0.000
0.350 5.000 0.779 -0.013 3.003 0.050 0.600 0.000
0.360 5.000 0.776 0.098 2.985 0.050 0.600 0.000
0.370 5.000 0.769 0.020 2.997 0.050 0.600 0.000
0.380 5.000 0.760 0.015 2.980 0.050 0.600 0.000
0.390 5.000 0.758 0.015 3.002 0.050 0.600 0.000
0.400 5.000 0.748 0.072 2.861 0.050 0.600 0.000
0.410 5.000 0.750 -0.033 2.941 0.050 0.600 0.000
0.420 5.000 0.737 0.042 2.886 0.050 0.600 0.000
0.430 5.000 0.724 0.026 2.768 0.050 0.600 0.000
0.440 5.000 0.721 0.035 2.803 0.050 0.600 0.000
0.450 5.000 0.712 0.056 2.751 0.050 0.600 0.000
0.460 5.000 0.706 0.028 2.729 0.050 0.600 0.000
