# covent_pc_3
# Captured 2020-07-03 03:10:53.974487 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
0.000 5.000 1.484 0.169 7.150 0.050 0.600 0.000
0.010 5.000 1.470 0.015 6.926 0.050 0.600 0.000
0.020 5.000 1.434 0.017 6.872 0.050 0.600 0.000
0.030 5.000 1.406 -0.014 6.767 0.050 0.600 0.000
0.040 5.000 1.386 0.081 6.567 0.050 0.600 0.000
0.050 5.000 1.354 -0.020 6.423 0.050 0.600 0.000
0.060 5.000 1.333 0.008 6.150 0.050 0.600 0.000
0.070 5.000 1.288 0.102 6.011 0.050 0.600 0.000
0.080 5.000 1.267 0.003 5.945 0.050 0.600 0.000
0.090 5.000 1.256 0.030 5.981 0.050 0.600 0.000
0.100 5.000 1.228 0.046 5.731 0.050 0.600 0.000
0.110 5.000 1.199 0.017 5.647 0.050 0.600 0.000
0.120 5.000 1.164 0.030 5.575 0.050 0.600 0.000
0.130 5.000 1.155 0.043 5.421 0.050 0.600 0.000
0.140 5.000 1.126 0.009 5.290 0.050 0.600 0.000
0.150 5.000 1.090 0.081 5.101 0.050 0.600 0.000
0.160 5.000 1.078 -0.014 5.065 0.050 0.600 0.000
0.170 5.000 1.061 0.014 4.948 0.050 0.600 0.000
0.180 5.000 1.042 0.019 4.893 0.050 0.600 0.000
0.190 5.000 1.014 0.075 4.675 0.050 0.600 0.000
0.200 5.000 0.982 0.038 4.588 0.050 0.600 0.000
0.210 5.000 0.971 0.011 4.574 0.050 0.600 0.000
0.220 5.000 0.942 0.010 4.374 0.050 0.600 0.000
0.230 5.000 0.930 0.043 4.255 0.050 0.600 0.000
0.240 5.000 0.908 0.045 4.163 0.050 0.600 0.000
0.250 5.000 0.869 0.021 4.150 0.050 0.600 0.000
0.260 5.000 0.862 0.027 4.076 0.050 0.600 0.000
0.270 5.000 0.836 -0.006 3.955 0.050 0.600 0.000
0.280 5.000 0.820 0.052 3.807 0.050 0.600 0.000
0.290 5.000 0.802 0.017 3.767 0.050 0.600 0.000
